time,Coincident Index
Aug-12,93.1
Sep-12,91.7
Oct-12,91.5
Nov-12,91.1
Dec-12,92.5
Jan-13,92.7
Feb-13,93.7
Mar-13,95.1
Apr-13,95.6
May-13,96.6
Jun-13,96.9
Jul-13,98.1
Aug-13,99.1
Sep-13,100
Oct-13,100.6
Nov-13,101.8
Dec-13,101.6
Jan-14,103.7
Feb-14,103.1
Mar-14,105.5
Apr-14,100.8
May-14,101.1
Jun-14,99.8
Jul-14,100.2
Aug-14,99.4
Sep-14,100.7
Oct-14,100.4
Nov-14,99.9
Dec-14,100.3
Jan-15,101.5
Feb-15,100.2
Mar-15,99.3
Apr-15,100.2
May-15,99.7
Jun-15,100.6
Jul-15,100.3
Aug-15,99.6
Sep-15,100.2
Oct-15,100.3
Nov-15,99.4
Dec-15,98.5
Jan-16,99.2
Feb-16,98.7
Mar-16,98.4
Apr-16,98.6
May-16,98
Jun-16,98.4
Jul-16,98.9
Aug-16,99.1
Sep-16,99.4
Oct-16,100.1
Nov-16,101.4
Dec-16,101.3
Jan-17,101.1
Feb-17,101.5
Mar-17,101.5
Apr-17,102.9
May-17,102.1
Jun-17,102.6
Jul-17,102.1
Aug-17,103.5
Sep-17,102.7
Oct-17,102.8
Nov-17,104.2
Dec-17,105.4
Jan-18,102.6
Feb-18,103.3
Mar-18,103.2
Apr-18,104.1
May-18,103.6
Jun-18,103.4
Jul-18,102.9
Aug-18,103
Sep-18,101.8
Oct-18,104
Nov-18,102.4
Dec-18,101.3
Jan-19,100.8
Feb-19,101.8
Mar-19,101.4
Apr-19,101.5
May-19,101.5
Jun-19,99.3
Jul-19,99.2
Aug-19,98.3
Sep-19,99.8
Oct-19,96.1
Nov-19,95.1
Dec-19,94.3
Jan-20,95.7
Feb-20,95.4
