time,Coincident Index,Coincident ann,manufac,home,manufac,home
Nov-92,83.8,-16.283716283716277,20633615.416666664,36768652.58333333,-1.476613400362925,1.266786957523669
Dec-92,83.2,-14.92842535787321,20634713.583333332,36873284.58333333,-1.2428949097592734,5.23430899174675
Jan-93,84.1,-12.66874350986501,20606250.25,36992443.125,-1.4831648664147323,2.9622547648110897
Feb-93,83.9,-12.146596858638736,20548052.625,36887570.70833333,-2.5553848472605334,2.480387150268215
Mar-93,82.9,-11.336898395721917,20489924.958333332,36683012.5,1.8240916429954623,4.019974172013296
Apr-93,82.2,-10.652173913043473,20429152.75,36666984.541666664,0.45140776019609863,7.374139988030759
May-93,82.2,-8.565072302558397,20377445.75,36688370.625,-0.05189538395620197,2.770311640271017
Jun-93,81.0,-9.799554565701552,20334533.541666664,36776056.29166667,0.1722754250190084,5.125233302124799
Jul-93,80.6,-9.336332958380211,20293767.5,36926141.875,-3.2653805177130124,3.59399728805212
Aug-93,80.4,-7.26643598615917,20259668.458333332,37082778.33333333,-3.3078403178299243,-8.53269201316741
Sep-93,80.3,-8.750000000000002,20224091.958333332,37265475.875,-3.340597020979441,-2.7418867624839804
Oct-93,78.9,-7.719298245614025,20186710.416666664,37392526.875,-3.4698757190809393,2.1941515949814416
Nov-93,78.6,-6.205250596658718,20160486.375,37442183.58333333,-2.431594376696955,-0.6837412870137949
Dec-93,78.1,-6.129807692307699,20157304.541666664,37526785.33333333,-2.6104391228875645,6.819659468632211
Jan-94,78.4,-6.777645659928644,20214385.375,37881327.0,-2.3108584805138888,3.0416412222301625
Feb-94,78.4,-6.555423122765191,20329069.708333332,38641976.58333333,-1.9001837898287022,6.481878487102888
Mar-94,79.7,-3.86007237635706,20441501.708333332,39470405.70833333,-2.295343069564748,5.225123522508945
Apr-94,79.9,-2.7980535279805263,20536602.0,39940553.5,-2.0473809896782935,3.09041864083901
May-94,80.1,-2.554744525547459,20628101.125,40127924.916666664,-1.0865742431160008,0.0979426871501321
Jun-94,81.1,0.12345679012344402,20722389.041666664,40232887.58333333,0.6576607378970589,6.094610102801301
Jul-94,82.1,1.8610421836228186,20805483.083333332,40352891.62499999,5.765848612258728,17.89959428856598
Aug-94,82.6,2.736318407960181,20887087.875,40465356.041666664,7.696423476057301,28.989975564064284
Sep-94,82.4,2.6151930261519407,20985308.208333332,40572547.541666664,5.6569146090966305,20.29801539804086
Oct-94,83.4,5.703422053231932,21078384.75,40698615.45833333,5.374199492273801,9.055718573020833
Nov-94,84.1,6.997455470737912,21155187.833333332,40826771.916666664,5.421895724621262,4.004376713745339
Dec-94,84.8,8.578745198463512,21195567.375,40907203.33333333,5.944424025124917,3.1889855311610926
Jan-95,83.3,6.249999999999978,21192248.166666664,40815980.375,4.3214574013766605,3.996239074262964
Feb-95,84.6,7.908163265306101,21196964.583333332,40673570.25,5.969498469583967,2.4073276870959504
Mar-95,85.1,6.775407779171894,21192076.541666664,40664139.791666664,5.911113302604898,4.166214045793959
Apr-95,85.8,7.3842302878598165,21171030.125,40669878.916666664,5.139918506605201,3.7243174554842273
May-95,84.9,5.992509363295895,21160695.625,40743784.875,4.199294485524652,4.824218378610712
Jun-95,84.8,4.562268803945746,21157270.333333332,40961408.45833333,0.6538105746122458,0.8454947882601704
Jul-95,83.9,2.192448233861155,21174863.291666664,41204452.166666664,-0.9761142120223387,-5.7898158853782355
Aug-95,85.1,3.0266343825665842,21218361.708333332,41448466.25,1.5642982528136118,-1.7884423142623063
Sep-95,85.0,3.15533980582523,21238489.0,41711294.375,-2.0526449938638502,1.4682782006737227
Oct-95,85.3,2.278177458033559,21228652.625,41898410.166666664,-0.25089099407625826,-1.5061443380843365
Nov-95,86.1,2.378121284185486,21243716.916666664,42078350.291666664,-0.9141515476492446,6.676646401305875
Dec-95,87.1,2.7122641509433887,21276251.083333332,42313020.54166667,0.5323277700887807,7.62166881956603
Jan-96,87.2,4.681872749099636,21330085.333333332,42483755.125,1.5696282143780715,6.627891645404604
Feb-96,88.6,4.728132387706863,21363250.166666664,42632912.416666664,3.6285719221206714,6.9165188511682185
Mar-96,88.8,4.347826086956519,21382155.666666664,42582875.541666664,-1.1446605488459771,8.587376087695242
Apr-96,89.4,4.195804195804209,21432062.25,42507280.875,0.06731260622838686,2.7064991692332008
May-96,90.1,6.1248527679622855,21490164.0,42657173.041666664,1.6904526911611706,9.094214946041035
Jun-96,90.1,6.25,21542139.5,42774944.25,2.0031044679399423,6.840678197362693
Jul-96,91.0,8.462455303933236,21600745.666666664,42833661.70833333,3.84514727319627,4.205013692921211
Aug-96,91.1,7.050528789659216,21634432.916666664,42935552.20833333,-0.2902449949972463,3.664553479486732
Sep-96,91.7,7.882352941176474,21659269.125,42931395.416666664,2.402058176263311,-6.296311287740131
Oct-96,93.1,9.144196951934337,21720085.416666664,42843004.45833333,3.1465452036881336,3.3969574100671585
Nov-96,93.8,8.943089430894302,21797742.666666664,42841917.291666664,3.3992987636235927,6.221317176068397
Dec-96,94.1,8.036739380022961,21882502.75,42889748.0,2.5397967403775423,1.2210078772614708
Jan-97,95.5,9.518348623853212,21956286.083333332,43077468.416666664,4.336752346818495,1.9207379289610804
Feb-97,95.8,8.12641083521446,22020886.458333332,43208817.25,-0.30509234254328943,3.41612980217465
Mar-97,97.4,9.684684684684687,22095007.375,43309092.666666664,3.056102303863373,-3.790057054377638
Apr-97,94.9,6.152125279642062,22159857.5,43526956.5,3.8501215973330005,-1.1880228945785443
May-97,96.0,6.548279689234193,22187862.208333332,43624830.291666664,5.089462612134654,1.1937014031890403
Jun-97,96.0,6.548279689234193,22194857.458333332,43617031.291666664,4.397201985760635,1.828315890731269
Jul-97,95.8,5.274725274725278,22195524.375,43640112.041666664,3.4523126479692356,9.073084973193591
Aug-97,95.5,4.829857299670692,22180227.958333336,43733281.416666664,3.474112032945631,-1.2556817256919817
Sep-97,94.5,3.053435114503822,22137680.208333332,43815777.54166667,4.67361987010142,6.70438901990118
Oct-97,93.8,0.7518796992481258,22092862.416666664,43946120.375,2.360993117830268,5.584577967964943
Nov-97,92.0,-1.9189765458422103,22046139.083333332,44090222.875,0.6678441405387092,0.4898119043463378
Dec-97,91.4,-2.8692879914983926,21982621.125,44181220.75,0.10663301693354388,-0.9285185313995248
