需給実績公表,,,,,,,,,,,
※四捨五入の関係で合計が合わないことがあります。,,,,,,,,,,,（単位：MWh）
,,,,,,,,,,,
DATE,TIME,"エリアの
需要実績",,エリアの供給実績,,,,,,,
,,,,火力,水力,ﾊﾞｲｵﾏｽ,太陽光,,風力,,合計
,,,,,,,,"太陽光
出力制御量",,"風力
出力制御量",
,,,,,,,,,,,
2017/4/1,0:00,649.4,,637.3,0.6,1.7,0,0,9.8,0,649.4
2017/4/1,1:00,631.6,,618.1,0.6,1.7,0,0,11.2,0,631.6
2017/4/1,2:00,645.1,,629.5,0.6,1.7,0,0,13.3,0,645.1
2017/4/1,3:00,669.2,,651.8,0.6,1.7,0,0,15.1,0,669.2
2017/4/1,4:00,661.9,,647.2,0.6,1.7,0,0,12.4,0,661.9
2017/4/1,5:00,637.4,,623.1,0.6,1.7,0,0,12,0,637.4
2017/4/1,6:00,629.8,,613.4,0.6,1.7,0.7,0,13.4,0,629.8
2017/4/1,7:00,679.3,,661.2,0.6,1.7,4.3,0,11.5,0,679.3
2017/4/1,8:00,735.3,,717,0.6,1.7,9.2,0,6.8,0,735.3
2017/4/1,9:00,776.4,,756.9,0.6,1.7,11.9,0,5.3,0,776.4
2017/4/1,10:00,782.7,,760,0.6,1.7,15.8,0,4.6,0,782.7
2017/4/1,11:00,796.5,,767.7,0.6,1.7,18.4,0,8.1,0,796.5
2017/4/1,12:00,784.5,,758.5,0.6,1.7,12.6,0,11.1,0,784.5
2017/4/1,13:00,785.7,,725.2,0.6,1.7,44.3,0,13.9,0,785.7
2017/4/1,14:00,780.1,,713.7,0.6,1.7,49.7,0,14.4,0,780.1
2017/4/1,15:00,777.7,,696.1,0.6,1.7,65.5,0,13.8,0,777.7
2017/4/1,16:00,792.8,,725.8,0.6,1.7,51,0,13.7,0,792.8
2017/4/1,17:00,783.4,,749.2,0.6,1.7,18.2,0,13.7,0,783.4
2017/4/1,18:00,824.1,,805.5,0.6,1.7,2.7,0,13.6,0,824.1
2017/4/1,19:00,861.6,,845.5,0.6,1.7,0,0,13.8,0,861.6
2017/4/1,20:00,840,,824.3,0.6,1.7,0,0,13.4,0,840
2017/4/1,21:00,809.1,,792.7,0.6,1.7,0,0,14.1,0,809.1
2017/4/1,22:00,783.7,,766.7,0.6,1.7,0,0,14.7,0,783.7
2017/4/1,23:00,747.5,,730.5,0.6,1.7,0,0,14.7,0,747.5
2017/4/2,0:00,696.4,,681,0.6,1.7,0,0,13.1,0,696.4
2017/4/2,1:00,674,,660.5,0.6,1.7,0,0,11.2,0,674
2017/4/2,2:00,694.8,,680.7,0.6,1.7,0,0,11.8,0,694.8
2017/4/2,3:00,713.1,,698.6,0.6,1.7,0,0,12.2,0,713.1
2017/4/2,4:00,709.3,,693.9,0.6,1.7,0,0,13.1,0,709.3
2017/4/2,5:00,675.7,,660.6,0.6,1.7,0,0,12.8,0,675.7
2017/4/2,6:00,640.2,,624.2,0.6,1.7,0.9,0,12.8,0,640.2
2017/4/2,7:00,653.5,,612.4,0.6,1.7,25.1,0,13.7,0,653.5
2017/4/2,8:00,693.6,,597.3,0.6,1.7,80,0,14,0,693.6
2017/4/2,9:00,712.5,,574.5,0.6,1.7,120.7,0,15,0,712.5
2017/4/2,10:00,741,,550,0.6,1.7,173.6,0,15.1,0,741
2017/4/2,11:00,742.7,,532.9,0.6,1.7,192.3,0,15.2,0,742.7
2017/4/2,12:00,750.5,,513.1,0.6,1.7,220.5,0,14.6,0,750.5
2017/4/2,13:00,745.9,,509.8,0.6,1.7,219.3,0,14.5,0,745.9
2017/4/2,14:00,740.4,,522.4,0.6,1.7,201.6,0,14.1,0,740.4
2017/4/2,15:00,732.5,,555.5,0.6,1.7,160,0,14.7,0,732.5
2017/4/2,16:00,740.3,,621.7,0.6,1.7,102.6,0,13.7,0,740.3
2017/4/2,17:00,760.8,,696.8,0.6,1.7,49.1,0,12.6,0,760.8
2017/4/2,18:00,805,,787.4,0.6,1.7,5,0,10.3,0,805
2017/4/2,19:00,869,,859.2,0.6,1.7,0,0,7.5,0,869
2017/4/2,20:00,850.9,,842.5,0.6,1.7,0,0,6.1,0,850.9
2017/4/2,21:00,819,,811.9,0.6,1.7,0,0,4.8,0,819
2017/4/2,22:00,770.9,,763.4,0.6,1.7,0,0,5.2,0,770.9
2017/4/2,23:00,712.5,,703.3,0.6,1.7,0,0,6.9,0,712.5
2017/4/3,0:00,664.5,,655.3,0.6,1.7,0,0,6.9,0,664.5
2017/4/3,1:00,654.2,,645.1,0.6,1.7,0,0,6.8,0,654.2
2017/4/3,2:00,672.1,,661.9,0.6,1.7,0,0,7.9,0,672.1
2017/4/3,3:00,697.9,,689.9,0.6,1.7,0,0,5.7,0,697.9
2017/4/3,4:00,700.7,,692.2,0.6,1.7,0,0,6.2,0,700.7
2017/4/3,5:00,676.6,,668.4,0.6,1.7,0,0,5.9,0,676.6
2017/4/3,6:00,686.8,,678.7,0.6,1.7,1.2,0,4.6,0,686.8
2017/4/3,7:00,718.2,,680.2,0.6,1.7,32,0,3.7,0,718.2
2017/4/3,8:00,744.8,,650.8,0.6,1.7,88.7,0,3,0,744.8
2017/4/3,9:00,769.5,,622.9,0.6,1.7,142.3,0,2,0,769.5
2017/4/3,10:00,773.5,,585.8,0.6,1.7,183.2,0,2.2,0,773.5
2017/4/3,11:00,787.5,,575.9,0.6,1.7,207.5,0,1.8,0,787.5
2017/4/3,12:00,777.4,,552,0.6,1.7,222,0,1.1,0,777.4
2017/4/3,13:00,799.1,,577.6,0.6,1.7,218.4,0,0.8,0,799.1
2017/4/3,14:00,799.3,,605.9,0.6,1.7,190.1,0,1,0,799.3
2017/4/3,15:00,784.2,,647.4,0.6,1.7,133,0,1.5,0,784.2
2017/4/3,16:00,791,,695.8,0.6,1.7,91,0,1.9,0,791
2017/4/3,17:00,794.8,,750.7,0.6,1.7,40.6,0,1.2,0,794.8
2017/4/3,18:00,818.7,,812.2,0.6,1.7,3,0,1.2,0,818.7
2017/4/3,19:00,862.4,,859.3,0.6,1.7,0,0,0.8,0,862.4
2017/4/3,20:00,838.3,,835.6,0.6,1.7,0,0,0.4,0,838.3
2017/4/3,21:00,798.4,,795.7,0.6,1.7,0,0,0.4,0,798.4
2017/4/3,22:00,760.2,,757.5,0.6,1.7,0,0,0.4,0,760.2
2017/4/3,23:00,714.7,,712.2,0.6,1.7,0,0,0.2,0,714.7
2017/4/4,0:00,670.6,,668.1,0.6,1.7,0,0,0.2,0,670.6
2017/4/4,1:00,656.4,,653.9,0.6,1.7,0,0,0.2,0,656.4
2017/4/4,2:00,673.2,,670.7,0.6,1.7,0,0,0.2,0,673.2
2017/4/4,3:00,693.4,,690.9,0.6,1.7,0,0,0.2,0,693.4
2017/4/4,4:00,695.6,,693.1,0.6,1.7,0,0,0.2,0,695.6
2017/4/4,5:00,679.7,,677.1,0.6,1.7,0,0,0.3,0,679.7
2017/4/4,6:00,679.6,,675.6,0.6,1.7,1.2,0,0.5,0,679.6
2017/4/4,7:00,717.9,,687.7,0.6,1.7,27.4,0,0.5,0,717.9
2017/4/4,8:00,759.7,,676,0.6,1.7,80.4,0,1,0,759.7
2017/4/4,9:00,787.3,,661.8,0.6,1.7,122.2,0,1,0,787.3
2017/4/4,10:00,793.5,,647,0.6,1.7,143,0,1.2,0,793.5
2017/4/4,11:00,780.4,,631.6,0.6,1.7,145.2,0,1.3,0,780.4
2017/4/4,12:00,797.1,,597.1,0.6,1.7,196,0,1.7,0,797.1
2017/4/4,13:00,803.6,,608.8,0.6,1.7,190.6,0,1.9,0,803.6
2017/4/4,14:00,790.1,,624.3,0.6,1.7,160.9,0,2.6,0,790.1
2017/4/4,15:00,801,,652,0.6,1.7,143.3,0,3.4,0,801
2017/4/4,16:00,797,,707.2,0.6,1.7,83.7,0,3.8,0,797
2017/4/4,17:00,794.4,,749.6,0.6,1.7,38.6,0,3.9,0,794.4
2017/4/4,18:00,823.9,,815.2,0.6,1.7,2.8,0,3.6,0,823.9
2017/4/4,19:00,859.7,,853.9,0.6,1.7,0,0,3.5,0,859.7
2017/4/4,20:00,838.3,,831.8,0.6,1.7,0,0,4.2,0,838.3
2017/4/4,21:00,796.5,,789,0.6,1.7,0,0,5.2,0,796.5
2017/4/4,22:00,746.7,,738.7,0.6,1.7,0,0,5.7,0,746.7
2017/4/4,23:00,688.2,,680.3,0.6,1.7,0,0,5.6,0,688.2
2017/4/5,0:00,632.4,,625.5,0.6,1.7,0,0,4.6,0,632.4
2017/4/5,1:00,616.6,,608,0.6,1.7,0,0,6.3,0,616.6
2017/4/5,2:00,636.2,,626.3,0.6,1.7,0,0,7.6,0,636.2
2017/4/5,3:00,659.6,,648.6,0.6,1.7,0,0,8.7,0,659.6
2017/4/5,4:00,658.5,,647.3,0.6,1.7,0,0,8.9,0,658.5
2017/4/5,5:00,638.1,,626.8,0.6,1.7,0,0,9,0,638.1
2017/4/5,6:00,646.3,,634.3,0.6,1.7,1.2,0,8.5,0,646.3
2017/4/5,7:00,681.1,,650.7,0.6,1.7,20.4,0,7.7,0,681.1
2017/4/5,8:00,751.4,,661.3,0.6,1.7,79.5,0,8.3,0,751.4
2017/4/5,9:00,796.3,,681.1,0.6,1.7,106.2,0,6.7,0,796.3
2017/4/5,10:00,812.8,,690,0.6,1.7,114.3,0,6.2,0,812.8
2017/4/5,11:00,809.8,,622.2,0.6,1.7,178,0,7.3,0,809.8
2017/4/5,12:00,810.3,,595.3,0.6,1.7,204.1,0,8.6,0,810.3
2017/4/5,13:00,825.5,,597.2,0.6,1.7,218.6,0,7.4,0,825.5
2017/4/5,14:00,826,,621.9,0.6,1.7,193.7,0,8.1,0,826
2017/4/5,15:00,838.2,,675,0.6,1.7,152.8,0,8.1,0,838.2
2017/4/5,16:00,822,,728.4,0.6,1.7,82.4,0,8.9,0,822
2017/4/5,17:00,801.7,,764.1,0.6,1.7,25.6,0,9.7,0,801.7
2017/4/5,18:00,832.2,,817.7,0.6,1.7,2.9,0,9.3,0,832.2
2017/4/5,19:00,872.9,,861.3,0.6,1.7,0,0,9.3,0,872.9
2017/4/5,20:00,846.7,,835.2,0.6,1.7,0,0,9.2,0,846.7
2017/4/5,21:00,804.9,,792.8,0.6,1.7,0,0,9.8,0,804.9
2017/4/5,22:00,750.3,,739.3,0.6,1.7,0,0,8.7,0,750.3
2017/4/5,23:00,691.6,,680.1,0.6,1.7,0,0,9.2,0,691.6
2017/4/6,0:00,636.3,,624.5,0.6,1.7,0,0,9.5,0,636.3
2017/4/6,1:00,618.9,,606.2,0.6,1.7,0,0,10.4,0,618.9
2017/4/6,2:00,637.7,,624.7,0.6,1.7,0,0,10.7,0,637.7
2017/4/6,3:00,660.6,,647.5,0.6,1.7,0,0,10.8,0,660.6
2017/4/6,4:00,661.8,,649.6,0.6,1.7,0,0,9.9,0,661.8
2017/4/6,5:00,643.6,,632,0.6,1.7,0,0,9.3,0,643.6
2017/4/6,6:00,648.3,,635.7,0.6,1.7,1.1,0,9.2,0,648.3
2017/4/6,7:00,692.6,,664.7,0.6,1.7,15.5,0,10.1,0,692.6
2017/4/6,8:00,765.8,,711,0.6,1.7,43.4,0,9.1,0,765.8
2017/4/6,9:00,825.9,,740,0.6,1.7,73.2,0,10.4,0,825.9
2017/4/6,10:00,844.4,,715,0.6,1.7,116.6,0,10.5,0,844.4
2017/4/6,11:00,856.9,,726.7,0.6,1.7,118.1,0,9.8,0,856.9
2017/4/6,12:00,829.9,,725.9,0.6,1.7,91.4,0,10.3,0,829.9
2017/4/6,13:00,842.9,,745.7,0.6,1.7,85.4,0,9.5,0,842.9
2017/4/6,14:00,835.8,,743.2,0.6,1.7,82.5,0,7.8,0,835.8
2017/4/6,15:00,854.7,,743.4,0.6,1.7,100,0,9,0,854.7
2017/4/6,16:00,856,,769.2,0.6,1.7,73.8,0,10.7,0,856
2017/4/6,17:00,843.8,,800.2,0.6,1.7,31.9,0,9.4,0,843.8
2017/4/6,18:00,866.7,,851.7,0.6,1.7,2.7,0,10,0,866.7
2017/4/6,19:00,895.9,,884.3,0.6,1.7,0,0,9.3,0,895.9
2017/4/6,20:00,867.6,,855,0.6,1.7,0,0,10.3,0,867.6
2017/4/6,21:00,823.8,,811.4,0.6,1.7,0,0,10.1,0,823.8
2017/4/6,22:00,765.6,,753.6,0.6,1.7,0,0,9.7,0,765.6
2017/4/6,23:00,704.6,,693.2,0.6,1.7,0,0,9.1,0,704.6
2017/4/7,0:00,650,,638.4,0.6,1.7,0,0,9.3,0,650
2017/4/7,1:00,630.2,,618.4,0.6,1.7,0,0,9.5,0,630.2
2017/4/7,2:00,644.1,,634.2,0.6,1.7,0,0,7.6,0,644.1
2017/4/7,3:00,670.9,,660.6,0.6,1.7,0,0,8,0,670.9
2017/4/7,4:00,670.3,,661.3,0.6,1.7,0,0,6.7,0,670.3
2017/4/7,5:00,652.7,,645.5,0.6,1.7,0,0,4.9,0,652.7
2017/4/7,6:00,666.7,,658.5,0.6,1.7,1.1,0,4.8,0,666.7
2017/4/7,7:00,718.2,,693.5,0.6,1.7,15.3,0,7.1,0,718.2
2017/4/7,8:00,785.5,,722.6,0.6,1.7,52.6,0,8,0,785.5
2017/4/7,9:00,840.8,,730.3,0.6,1.7,102.5,0,5.7,0,840.8
2017/4/7,10:00,863.2,,729.5,0.6,1.7,126.4,0,5,0,863.2
2017/4/7,11:00,879.6,,759,0.6,1.7,114.3,0,4,0,879.6
2017/4/7,12:00,866.2,,744.1,0.6,1.7,116.9,0,2.9,0,866.2
2017/4/7,13:00,867.4,,791.7,0.6,1.7,71.2,0,2.2,0,867.4
2017/4/7,14:00,861.6,,805.3,0.6,1.7,52.2,0,1.8,0,861.6
2017/4/7,15:00,859,,808.2,0.6,1.7,47.6,0,0.9,0,859
2017/4/7,16:00,870.3,,819.7,0.6,1.7,47.8,0,0.5,0,870.3
2017/4/7,17:00,860.5,,845.2,0.6,1.7,12.4,0,0.6,0,860.5
2017/4/7,18:00,878.2,,873.5,0.6,1.7,1.9,0,0.5,0,878.2
2017/4/7,19:00,900.3,,897.2,0.6,1.7,0,0,0.8,0,900.3
2017/4/7,20:00,871.4,,868,0.6,1.7,0,0,1.1,0,871.4
2017/4/7,21:00,830.4,,826.7,0.6,1.7,0,0,1.4,0,830.4
2017/4/7,22:00,796.3,,791.9,0.6,1.7,0,0,2.1,0,796.3
2017/4/7,23:00,759.6,,753.9,0.6,1.7,0,0,3.4,0,759.6
2017/4/8,0:00,705.8,,699.7,0.6,1.7,0,0,3.8,0,705.8
2017/4/8,1:00,672.1,,665.5,0.6,1.7,0,0,4.3,0,672.1
2017/4/8,2:00,688.7,,681.7,0.6,1.7,0,0,4.7,0,688.7
2017/4/8,3:00,707.3,,698.5,0.6,1.7,0,0,6.5,0,707.3
2017/4/8,4:00,707.2,,699.2,0.6,1.7,0,0,5.7,0,707.2
2017/4/8,5:00,684.1,,677,0.6,1.7,0,0,4.8,0,684.1
2017/4/8,6:00,668.3,,658.5,0.6,1.7,2.1,0,5.4,0,668.3
2017/4/8,7:00,712.1,,669.6,0.6,1.7,35.2,0,5,0,712.1
2017/4/8,8:00,775.3,,672.5,0.6,1.7,94.6,0,5.9,0,775.3
2017/4/8,9:00,834.2,,683,0.6,1.7,142.1,0,6.8,0,834.2
2017/4/8,10:00,860.3,,692.1,0.6,1.7,160.2,0,5.7,0,860.3
2017/4/8,11:00,883.3,,707.4,0.6,1.7,168.4,0,5.2,0,883.3
2017/4/8,12:00,870,,688.8,0.6,1.7,174.2,0,4.7,0,870
2017/4/8,13:00,874.5,,672.4,0.6,1.7,196.6,0,3.2,0,874.5
2017/4/8,14:00,895.5,,707.8,0.6,1.7,182.4,0,3,0,895.5
2017/4/8,15:00,886.6,,734.9,0.6,1.7,147,0,2.4,0,886.6
2017/4/8,16:00,899.5,,796.7,0.6,1.7,98.9,0,1.6,0,899.5
2017/4/8,17:00,881.3,,855.2,0.6,1.7,22.5,0,1.3,0,881.3
2017/4/8,18:00,905.3,,899.2,0.6,1.7,3.2,0,0.6,0,905.3
2017/4/8,19:00,934.1,,930.8,0.6,1.7,0,0,1,0,934.1
2017/4/8,20:00,903.3,,900,0.6,1.7,0,0,1,0,903.3
2017/4/8,21:00,872.3,,869.1,0.6,1.7,0,0,0.9,0,872.3
2017/4/8,22:00,822.2,,819.1,0.6,1.7,0,0,0.8,0,822.2
2017/4/8,23:00,771.4,,768.2,0.6,1.7,0,0,0.9,0,771.4
2017/4/9,0:00,717.3,,714.3,0.6,1.7,0,0,0.7,0,717.3
2017/4/9,1:00,682.9,,680,0.6,1.7,0,0,0.6,0,682.9
2017/4/9,2:00,697.8,,695,0.6,1.7,0,0,0.5,0,697.8
2017/4/9,3:00,716.8,,714.2,0.6,1.7,0,0,0.3,0,716.8
2017/4/9,4:00,715.1,,712.7,0.6,1.7,0,0,0.1,0,715.1
2017/4/9,5:00,681.8,,679.2,0.6,1.7,0,0,0.3,0,681.8
2017/4/9,6:00,659.9,,655.5,0.6,1.7,1.2,0,0.9,0,659.9
2017/4/9,7:00,692.4,,661.9,0.6,1.7,27.7,0,0.5,0,692.4
2017/4/9,8:00,746.6,,664.6,0.6,1.7,78.6,0,1.1,0,746.6
2017/4/9,9:00,798.1,,679.5,0.6,1.7,114.2,0,2.1,0,798.1
2017/4/9,10:00,820.4,,678.8,0.6,1.7,136.6,0,2.7,0,820.4
2017/4/9,11:00,810.2,,668,0.6,1.7,136.8,0,3.1,0,810.2
2017/4/9,12:00,844.3,,656.9,0.6,1.7,181.5,0,3.6,0,844.3
2017/4/9,13:00,867.8,,685.5,0.6,1.7,176.4,0,3.6,0,867.8
2017/4/9,14:00,840.2,,691.8,0.6,1.7,142.7,0,3.4,0,840.2
2017/4/9,15:00,859.1,,710.4,0.6,1.7,143.5,0,2.9,0,859.1
