※データは速報値であり、推計値などが含まれます,,,,,,,,,,,,,
※データは過去にさかのぼり修正する場合があります,,,,,,,,,,,,,
※四捨五入の関係で合計が合わないことがあります,,,,,,,,,,,,,
※例えば、0:00の実績値は、0時00分から1時00分までの1時間平均値を示します,,,,,,,,,,,,,
,,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,太陽光抑制量,風力実績,風力抑制量,揚水,連系線
DATE,TIME,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
2020/3/1,0:00,2864,0,2353,577,,68,0,0,49,0,0,-183
2020/3/1,1:00,2957,0,2437,585,,67,0,0,61,0,0,-193
2020/3/1,2:00,3186,0,2499,708,,67,0,0,65,0,49,-202
2020/3/1,3:00,3338,0,2494,856,,67,0,0,62,0,50,-191
2020/3/1,4:00,3332,0,2511,836,,68,0,0,53,0,49,-186
2020/3/1,5:00,3163,0,2499,749,,66,0,0,55,0,0,-206
2020/3/1,6:00,2912,0,2353,661,,67,7,0,39,0,0,-216
2020/3/1,7:00,2756,0,2199,634,,66,94,0,16,0,0,-253
2020/3/1,8:00,2750,0,1961,596,,67,280,0,12,0,0,-166
2020/3/1,9:00,2779,0,1811,569,,66,475,0,14,0,0,-156
2020/3/1,10:00,2729,0,1659,580,,66,634,0,14,0,0,-223
2020/3/1,11:00,2670,0,1581,587,,66,734,0,15,0,-100,-213
2020/3/1,12:00,2647,0,1577,585,,66,737,0,20,0,-122,-216
2020/3/1,13:00,2599,0,1538,602,,67,694,0,27,0,-122,-206
2020/3/1,14:00,2546,0,1547,605,,66,561,0,23,0,-62,-193
2020/3/1,15:00,2568,0,1722,576,,67,337,0,23,0,0,-157
2020/3/1,16:00,2722,0,2056,599,,66,158,0,26,0,0,-183
2020/3/1,17:00,2994,0,2257,721,,67,22,0,26,0,26,-125
2020/3/1,18:00,3185,0,2453,714,,66,1,0,29,0,50,-127
2020/3/1,19:00,3165,0,2516,676,,67,1,0,32,0,50,-175
2020/3/1,20:00,3115,0,2409,752,,67,0,0,40,0,16,-170
2020/3/1,21:00,2979,0,2334,717,,66,0,0,44,0,0,-181
2020/3/1,22:00,2914,0,2325,650,,67,0,0,44,0,0,-172
2020/3/1,23:00,2915,0,2357,651,,66,0,0,50,0,0,-209
2020/3/2,0:00,2927,0,2491,742,,67,0,0,50,0,0,-423
2020/3/2,1:00,3078,0,2611,836,,66,0,0,68,0,0,-503
2020/3/2,2:00,3302,0,2705,1094,,66,0,0,74,0,3,-640
2020/3/2,3:00,3472,0,2953,922,,66,0,0,76,0,99,-644
2020/3/2,4:00,3524,0,3165,757,,67,0,0,67,0,99,-632
2020/3/2,5:00,3485,0,3244,702,,66,0,0,64,0,0,-591
2020/3/2,6:00,3528,0,3236,753,,66,11,0,68,0,0,-606
2020/3/2,7:00,3531,0,3200,743,,66,112,0,61,0,0,-651
2020/3/2,8:00,3762,0,3169,861,,68,265,0,39,0,0,-640
2020/3/2,9:00,3921,0,3137,768,,67,338,0,18,0,0,-406
2020/3/2,10:00,3839,0,2820,648,,66,522,0,16,0,0,-232
2020/3/2,11:00,3781,0,2509,633,,66,573,0,46,0,0,-47
2020/3/2,12:00,3516,0,2344,567,,68,570,0,76,0,0,-109
2020/3/2,13:00,3719,0,2722,558,,67,315,0,83,0,0,-26
2020/3/2,14:00,3736,0,2897,568,,66,130,0,94,0,0,-18
2020/3/2,15:00,3733,0,3001,587,,68,132,0,103,0,0,-157
2020/3/2,16:00,3763,0,3266,700,,68,94,0,105,0,0,-470
2020/3/2,17:00,3728,0,3279,882,,67,19,0,109,0,2,-630
2020/3/2,18:00,3770,0,3274,909,,67,1,0,113,0,98,-690
2020/3/2,19:00,3641,0,3222,895,,68,0,0,122,0,50,-715
