※データは速報値であり、推計値などが含まれます,,,,,,,,,,,,,
※データは過去にさかのぼり修正する場合があります,,,,,,,,,,,,,
※四捨五入の関係で合計が合わないことがあります,,,,,,,,,,,,,
※例えば、0:00の実績値は、0時00分から1時00分までの1時間平均値を示します,,,,,,,,,,,,,
,,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,太陽光抑制量,風力実績,風力抑制量,揚水,連系線
DATE,TIME,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
2019/8/1,0:00,3125,0,2463,909,,68,0,0,18,0,0,-334
2019/8/1,1:00,3032,0,2472,837,,67,0,0,15,0,0,-359
2019/8/1,2:00,3092,0,2470,913,,67,0,0,10,0,0,-368
2019/8/1,3:00,3169,0,2471,945,,68,0,0,6,0,0,-321
2019/8/1,4:00,3151,0,2471,922,,67,1,0,5,0,0,-314
2019/8/1,5:00,3073,0,2476,853,,68,23,0,6,0,0,-351
2019/8/1,6:00,3154,0,2528,786,,67,104,0,7,0,0,-337
2019/8/1,7:00,3504,0,2641,790,,67,234,0,5,0,0,-233
2019/8/1,8:00,4114,0,2714,978,,66,349,0,2,0,0,5
2019/8/1,9:00,4570,0,2754,1088,,66,503,0,2,0,0,157
2019/8/1,10:00,4768,0,2722,1204,,67,620,0,2,0,0,152
2019/8/1,11:00,4909,0,2783,1264,,65,653,0,4,0,0,140
2019/8/1,12:00,4725,0,2796,1037,,67,654,0,7,0,0,166
2019/8/1,13:00,4954,0,2831,1203,,66,676,0,10,0,0,168
2019/8/1,14:00,5006,0,2937,1201,,66,611,0,12,0,0,179
2019/8/1,15:00,4972,0,2996,1356,,67,463,0,11,0,3,76
2019/8/1,16:00,4915,0,3023,1400,,68,297,0,9,0,102,15
2019/8/1,17:00,4664,0,3083,1330,,67,147,0,6,0,105,-74
2019/8/1,18:00,4457,0,3084,1299,,67,33,0,1,0,104,-131
2019/8/1,19:00,4263,0,3026,1248,,67,1,0,1,0,86,-167
2019/8/1,20:00,4038,0,2873,1159,,67,0,0,2,0,0,-63
2019/8/1,21:00,3833,0,2715,1168,,67,0,0,2,0,0,-118
2019/8/1,22:00,3642,0,2606,1100,,68,0,0,0,0,0,-132
2019/8/1,23:00,3426,0,2528,1005,,67,0,0,0,0,0,-173
2019/8/2,0:00,3191,0,2522,887,,68,0,0,2,0,0,-288
2019/8/2,1:00,3092,0,2497,901,,67,0,0,7,0,-118,-262
2019/8/2,2:00,3141,0,2469,942,,67,0,0,9,0,-120,-226
2019/8/2,3:00,3208,0,2471,930,,67,0,0,9,0,-2,-267
2019/8/2,4:00,3178,0,2474,903,,68,1,0,9,0,0,-276
2019/8/2,5:00,3115,0,2474,821,,68,22,0,7,0,0,-277
2019/8/2,6:00,3217,0,2474,777,,67,129,0,2,0,0,-232
2019/8/2,7:00,3597,0,2481,866,,66,281,0,2,0,0,-99
2019/8/2,8:00,4276,0,2564,1117,,67,456,0,1,0,0,71
2019/8/2,9:00,4762,0,2668,1233,,66,609,0,0,0,0,187
2019/8/2,10:00,4910,0,2685,1242,,66,710,0,0,0,0,208
2019/8/2,11:00,5018,0,2804,1179,,65,765,0,0,0,0,205
2019/8/2,12:00,4851,0,2859,996,,67,764,0,0,0,0,165
2019/8/2,13:00,5026,0,2934,1093,,67,718,0,1,0,0,213
2019/8/2,14:00,5028,0,2999,1170,,66,619,0,1,0,1,172
2019/8/2,15:00,4954,0,3025,1204,,66,453,0,1,0,73,134
2019/8/2,16:00,4923,0,3132,1435,,67,311,0,1,0,99,-120
2019/8/2,17:00,4655,0,3201,1360,,67,148,0,0,0,99,-221
2019/8/2,18:00,4426,0,3243,1297,,67,35,0,0,0,99,-314
2019/8/2,19:00,4240,0,3188,1163,,68,1,0,0,0,98,-278
2019/8/2,20:00,4042,0,2945,1044,,67,0,0,0,0,75,-90
2019/8/2,21:00,3824,0,2687,1142,,67,0,0,1,0,27,-100
2019/8/2,22:00,3637,0,2603,1092,,68,0,0,1,0,0,-127
2019/8/2,23:00,3422,0,2545,967,,67,0,0,1,0,0,-159
2019/8/3,0:00,3195,0,2516,930,,68,0,0,1,0,0,-319
2019/8/3,1:00,3050,0,2530,761,,67,0,0,0,0,0,-309
2019/8/3,2:00,3115,0,2485,842,,68,0,0,0,0,0,-280
2019/8/3,3:00,3170,0,2472,903,,68,0,0,0,0,0,-273
2019/8/3,4:00,3116,0,2471,871,,67,1,0,0,0,0,-293
2019/8/3,5:00,3001,0,2440,805,,68,17,0,0,0,0,-328
2019/8/3,6:00,2982,0,2277,725,,67,102,0,0,0,0,-188
2019/8/3,7:00,3207,0,2293,713,,68,267,0,0,0,0,-134
2019/8/3,8:00,3632,0,2488,783,,67,434,0,0,0,0,-140
2019/8/3,9:00,3958,0,2495,882,,66,585,0,1,0,0,-70
2019/8/3,10:00,4097,0,2499,915,,66,691,0,1,0,0,-75
2019/8/3,11:00,4162,0,2526,920,,67,729,0,2,0,0,-81
2019/8/3,12:00,4105,0,2553,808,,67,736,0,3,0,0,-61
2019/8/3,13:00,4142,0,2569,761,,67,698,0,4,0,0,44
2019/8/3,14:00,4124,0,2579,956,,67,609,0,3,0,0,-90
2019/8/3,15:00,4060,0,2557,1095,,67,459,0,3,0,0,-121
2019/8/3,16:00,4013,0,2614,1262,,67,297,0,2,0,0,-229
2019/8/3,17:00,3856,0,2648,1384,,67,137,0,3,0,0,-382
2019/8/3,18:00,3721,0,2655,1453,,67,31,0,6,0,0,-491
2019/8/3,19:00,3639,0,2658,1381,,68,1,0,7,0,0,-476
2019/8/3,20:00,3495,0,2656,1152,,68,0,0,9,0,0,-390
2019/8/3,21:00,3322,0,2648,944,,67,0,0,7,0,0,-344
2019/8/3,22:00,3192,0,2636,870,,68,0,0,8,0,0,-390
2019/8/3,23:00,3047,0,2609,706,,67,0,0,10,0,0,-345
2019/8/4,0:00,2834,0,2494,849,,68,0,0,13,0,0,-590
2019/8/4,1:00,2739,0,2462,762,,67,0,0,17,0,0,-569
2019/8/4,2:00,2800,0,2461,920,,67,0,0,16,0,0,-663
2019/8/4,3:00,2859,0,2463,945,,68,0,0,16,0,0,-633
2019/8/4,4:00,2851,0,2459,896,,67,1,0,15,0,0,-587
2019/8/4,5:00,2757,0,2409,736,,68,20,0,11,0,0,-485
2019/8/4,6:00,2720,0,2262,704,,67,108,0,5,0,0,-425
2019/8/4,7:00,2899,0,2266,658,,68,240,0,4,0,0,-336
2019/8/4,8:00,3185,0,2245,772,,67,377,0,1,0,0,-277
2019/8/4,9:00,3483,0,2414,800,,66,513,0,0,0,0,-310
2019/8/4,10:00,3623,0,2480,662,,67,635,0,0,0,0,-221
2019/8/4,11:00,3707,0,2529,717,,67,677,0,1,0,0,-283
2019/8/4,12:00,3764,0,2617,764,,66,663,0,1,0,0,-346
2019/8/4,13:00,3752,0,2635,674,,67,622,0,1,0,0,-247
2019/8/4,14:00,3720,0,2643,676,,66,526,0,1,0,0,-192
2019/8/4,15:00,3713,0,2623,764,,65,401,0,1,0,0,-140
2019/8/4,16:00,3702,0,2593,969,,67,252,0,0,0,0,-179
2019/8/4,17:00,3716,0,2613,1156,,67,118,0,1,0,0,-239
2019/8/4,18:00,3699,0,2555,1376,,67,26,0,4,0,0,-330
2019/8/4,19:00,3665,0,2563,1420,,67,1,0,10,0,0,-395
2019/8/4,20:00,3523,0,2580,1288,,67,0,0,11,0,0,-423
2019/8/4,21:00,3365,0,2625,1135,,67,0,0,10,0,0,-472
2019/8/4,22:00,3168,0,2567,936,,68,0,0,7,0,0,-410
2019/8/4,23:00,3025,0,2516,765,,67,0,0,8,0,0,-330
2019/8/5,0:00,2816,0,2416,711,,68,0,0,9,0,0,-387
2019/8/5,1:00,2738,0,2214,844,,67,0,0,4,0,0,-391
2019/8/5,2:00,2830,0,2293,902,,67,0,0,2,0,0,-434
2019/8/5,3:00,2920,0,2517,736,,68,0,0,3,0,0,-403
2019/8/5,4:00,2929,0,2486,749,,67,1,0,3,0,0,-377
2019/8/5,5:00,2903,0,2468,780,,67,19,0,3,0,0,-434
2019/8/5,6:00,3087,0,2602,703,,68,110,0,1,0,0,-397
2019/8/5,7:00,3558,0,2726,733,,67,257,0,0,0,0,-225
2019/8/5,8:00,4312,0,2903,851,,66,426,0,0,0,0,65
2019/8/5,9:00,4802,0,2911,1054,,66,575,0,0,0,1,195
2019/8/5,10:00,4953,0,2902,1076,,66,656,0,0,0,49,205
2019/8/5,11:00,5054,0,2937,1170,,66,692,0,1,0,49,139
2019/8/5,12:00,4887,0,3024,951,,66,696,0,3,0,0,148
2019/8/5,13:00,5039,0,3131,984,,65,627,0,3,0,0,229
2019/8/5,14:00,5053,0,3236,964,,66,540,0,2,0,0,245
2019/8/5,15:00,5021,0,3266,1146,,65,398,0,1,0,4,142
2019/8/5,16:00,5006,0,3265,1313,,66,264,0,3,0,98,-2
2019/8/5,17:00,4735,0,3234,1303,,65,124,0,6,0,99,-96
2019/8/5,18:00,4542,0,3217,1275,,66,29,0,7,0,99,-153
2019/8/5,19:00,4350,0,3160,1191,,67,1,0,7,0,50,-127
2019/8/5,20:00,4125,0,2957,1129,,67,0,0,7,0,1,-35
2019/8/5,21:00,3920,0,2834,1140,,67,0,0,10,0,0,-130
2019/8/5,22:00,3674,0,2705,981,,68,0,0,9,0,0,-89
