※データは速報値であり、推計値などが含まれます,,,,,,,,,,,,,
※データは過去にさかのぼり修正する場合があります,,,,,,,,,,,,,
※四捨五入の関係で合計が合わないことがあります,,,,,,,,,,,,,
※例えば、0:00の実績値は、0時00分から1時00分までの1時間平均値を示します,,,,,,,,,,,,,
,,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,太陽光抑制量,風力実績,風力抑制量,揚水,連系線
DATE,TIME,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
2019/1/1,0:00,3413,0,2300,707,,5,0,0,15,0,0,386
2019/1/1,1:00,3465,0,2304,768,,5,0,0,7,0,0,381
2019/1/1,2:00,3559,0,2305,763,,5,0,0,5,0,0,480
2019/1/1,3:00,3578,0,2306,766,,5,0,0,7,0,0,494
2019/1/1,4:00,3501,0,2302,696,,5,0,0,8,0,0,491
2019/1/1,5:00,3282,0,2300,532,,5,0,0,11,0,0,435
2019/1/1,6:00,3049,0,2242,472,,5,0,0,20,0,0,310
2019/1/1,7:00,2906,0,2283,490,,5,20,0,26,0,0,83
2019/1/1,8:00,2860,0,2246,429,,5,108,0,28,0,0,45
2019/1/1,9:00,2807,0,2171,434,,5,147,0,32,0,0,17
2019/1/1,10:00,2677,0,2114,380,,5,172,0,43,0,0,-37
2019/1/1,11:00,2616,0,2004,417,,5,179,0,31,0,0,-21
2019/1/1,12:00,2543,0,1996,405,,5,163,0,5,0,0,-30
2019/1/1,13:00,2512,0,1959,381,,5,133,0,5,0,0,30
2019/1/1,14:00,2543,0,2042,417,,5,53,0,3,0,0,23
2019/1/1,15:00,2593,0,2065,504,,5,26,0,2,0,0,-9
2019/1/1,16:00,2743,0,2139,555,,5,4,0,3,0,0,38
2019/1/1,17:00,2948,0,2226,612,,5,0,0,4,0,0,101
2019/1/1,18:00,2977,0,2245,614,,5,0,0,6,0,0,107
2019/1/1,19:00,2956,0,2246,565,,5,0,0,5,0,0,135
2019/1/1,20:00,2957,0,2247,610,,5,0,0,3,0,0,92
2019/1/1,21:00,2953,0,2278,539,,5,0,0,6,0,0,126
2019/1/1,22:00,2989,0,2298,549,,5,0,0,14,0,0,124
2019/1/1,23:00,3134,0,2292,638,,5,0,0,15,0,0,184
2019/1/2,0:00,3104,0,2305,460,,5,0,0,22,0,0,311
2019/1/2,1:00,3161,0,2353,505,,5,0,0,26,0,0,272
2019/1/2,2:00,3335,0,2371,651,,5,0,0,29,0,0,280
2019/1/2,3:00,3439,0,2384,740,,5,0,0,21,0,0,289
2019/1/2,4:00,3313,0,2381,712,,5,0,0,20,0,0,195
2019/1/2,5:00,3082,0,2372,429,,5,0,0,18,0,0,259
2019/1/2,6:00,2912,0,2258,437,,5,0,0,16,0,0,196
2019/1/2,7:00,2832,0,2185,511,,5,5,0,14,0,0,112
2019/1/2,8:00,2895,0,2219,486,,5,46,0,14,0,0,125
2019/1/2,9:00,2928,0,2096,407,,5,112,0,15,0,0,294
2019/1/2,10:00,2867,0,2049,427,,5,131,0,17,0,0,239
2019/1/2,11:00,2800,0,1949,411,,5,173,0,25,0,0,238
2019/1/2,12:00,2757,0,1996,387,,5,144,0,32,0,0,193
2019/1/2,13:00,2661,0,1971,403,,5,154,0,22,0,0,106
2019/1/2,14:00,2645,0,2057,441,,5,114,0,17,0,0,11
2019/1/2,15:00,2666,0,2091,446,,5,50,0,14,0,0,61
2019/1/2,16:00,2816,0,2222,438,,5,8,0,9,0,0,135
2019/1/2,17:00,3069,0,2349,459,,5,0,0,8,0,0,248
2019/1/2,18:00,3124,0,2411,508,,5,0,0,7,0,0,193
2019/1/2,19:00,3092,0,2437,536,,5,0,0,4,0,0,111
2019/1/2,20:00,3065,0,2498,511,,5,0,0,1,0,0,50
2019/1/2,21:00,3036,0,2567,494,,5,0,0,4,0,0,-33
2019/1/2,22:00,3072,0,2590,397,,5,0,0,5,0,0,75
2019/1/2,23:00,3203,0,2540,497,,5,0,0,10,0,0,152
2019/1/3,0:00,3194,0,2665,514,,5,0,0,15,0,0,-5
2019/1/3,1:00,3294,0,2712,583,,5,0,0,27,0,0,-33
2019/1/3,2:00,3451,0,2708,700,,5,0,0,43,0,0,-5
2019/1/3,3:00,3564,0,2702,815,,5,0,0,61,0,0,-19
2019/1/3,4:00,3468,0,2695,711,,5,0,0,65,0,0,-9
2019/1/3,5:00,3253,0,2673,551,,5,0,0,62,0,0,-38
2019/1/3,6:00,3074,0,2693,445,,5,0,0,47,0,0,-117
2019/1/3,7:00,2965,0,2755,372,,5,4,0,51,0,0,-223
2019/1/3,8:00,3026,0,2830,372,,5,26,0,57,0,0,-263
2019/1/3,9:00,3123,0,2802,410,,5,60,0,58,0,0,-212
2019/1/3,10:00,3106,0,2604,374,,5,98,0,43,0,0,-18
2019/1/3,11:00,2993,0,2461,356,,5,152,0,35,0,0,-16
2019/1/3,12:00,2931,0,2402,362,,5,148,0,38,0,0,-23
2019/1/3,13:00,2860,0,2356,349,,5,129,0,35,0,0,-15
2019/1/3,14:00,2851,0,2384,370,,5,84,0,32,0,0,-23
2019/1/3,15:00,2869,0,2491,395,,5,46,0,29,0,0,-98
2019/1/3,16:00,3008,0,2691,482,,5,9,0,28,0,0,-206
2019/1/3,17:00,3254,0,2767,630,,5,0,0,18,0,0,-167
2019/1/3,18:00,3290,0,2771,585,,5,0,0,13,0,0,-84
2019/1/3,19:00,3241,0,2771,529,,5,0,0,12,0,0,-76
2019/1/3,20:00,3198,0,2693,585,,5,0,0,6,0,0,-91
2019/1/3,21:00,3115,0,2740,501,,5,0,0,6,0,0,-137
2019/1/3,22:00,3103,0,2734,493,,5,0,0,7,0,0,-135
2019/1/3,23:00,3206,0,2706,626,,5,0,0,6,0,0,-137
2019/1/4,0:00,3168,0,2682,415,,5,0,0,4,0,0,62
2019/1/4,1:00,3254,0,2708,412,,5,0,0,4,0,0,125
2019/1/4,2:00,3406,0,2765,538,,5,0,0,5,0,0,93
2019/1/4,3:00,3450,0,2807,548,,5,0,0,8,0,0,83
2019/1/4,4:00,3377,0,2804,491,,5,0,0,7,0,0,69
2019/1/4,5:00,3239,0,2809,379,,5,0,0,6,0,0,39
2019/1/4,6:00,3185,0,2762,377,,5,0,0,7,0,0,33
2019/1/4,7:00,3198,0,2770,442,,5,15,0,7,0,0,-41
2019/1/4,8:00,3287,0,2737,360,,5,97,0,5,0,0,83
2019/1/4,9:00,3299,0,2550,348,,5,219,0,4,0,0,173
2019/1/4,10:00,3176,0,2374,340,,5,342,0,2,0,0,113
2019/1/4,11:00,3042,0,2262,326,,5,374,0,2,0,0,73
2019/1/4,12:00,2928,0,2247,312,,5,355,0,10,0,-36,36
2019/1/4,13:00,2887,0,2242,379,,5,323,0,9,0,-118,48
2019/1/4,14:00,2847,0,2172,407,,5,244,0,6,0,-20,33
2019/1/4,15:00,2885,0,2345,410,,5,135,0,8,0,0,-17
2019/1/4,16:00,3048,0,2571,451,,5,27,0,15,0,2,-22
2019/1/4,17:00,3302,0,2876,536,,5,0,0,31,0,49,-195
2019/1/4,18:00,3349,0,2774,586,,5,0,0,51,0,50,-117
2019/1/4,19:00,3292,0,2731,621,,5,0,0,61,0,23,-149
2019/1/4,20:00,3204,0,2674,549,,5,0,0,75,0,0,-98
2019/1/4,21:00,3069,0,2577,514,,5,0,0,80,0,0,-107
2019/1/4,22:00,2991,0,2554,422,,5,0,0,84,0,0,-74
2019/1/4,23:00,3022,0,2454,406,,5,0,0,98,0,0,59
2019/1/5,0:00,2943,0,2456,418,,5,0,0,92,0,0,-28
2019/1/5,1:00,3047,0,2543,508,,5,0,0,76,0,0,-85
2019/1/5,2:00,3228,0,2660,609,,5,0,0,79,0,0,-124
2019/1/5,3:00,3332,0,2669,725,,5,0,0,72,0,0,-139
2019/1/5,4:00,3305,0,2679,715,,5,0,0,66,0,0,-159
2019/1/5,5:00,3131,0,2663,538,,5,0,0,67,0,0,-142
2019/1/5,6:00,2989,0,2657,471,,5,0,0,50,0,0,-194
2019/1/5,7:00,2973,0,2704,470,,5,2,0,35,0,0,-242
2019/1/5,8:00,3228,0,2771,542,,5,12,0,25,0,0,-126
2019/1/5,9:00,3407,0,2785,598,,5,33,0,25,0,0,-39
2019/1/5,10:00,3400,0,2783,555,,5,92,0,19,0,0,-54
