※データは速報値であり、推計値などが含まれます,,,,,,,,,,,,,
※データは過去にさかのぼり修正する場合があります,,,,,,,,,,,,,
※四捨五入の関係で合計が合わないことがあります,,,,,,,,,,,,,
※例えば、0:00の実績値は、0時00分から1時00分までの1時間平均値を示します,,,,,,,,,,,,,
,,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,太陽光抑制量,風力実績,風力抑制量,揚水,連系線
DATE,TIME,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
2019/5/1,0:00,2186,0,1571,1390,,63,0,0,8,0,0,-845
2019/5/1,1:00,2296,0,1626,1295,,64,0,0,6,0,0,-695
2019/5/1,2:00,2503,0,1759,1387,,64,0,0,3,0,0,-710
2019/5/1,3:00,2593,0,1731,1491,,64,0,0,2,0,0,-695
2019/5/1,4:00,2591,0,1704,1504,,64,1,0,10,0,0,-692
2019/5/1,5:00,2434,0,1647,1454,,62,6,0,4,0,0,-739
2019/5/1,6:00,2255,0,1493,1370,,64,34,0,1,0,0,-706
2019/5/1,7:00,2231,0,1440,1277,,63,71,0,0,0,0,-619
2019/5/1,8:00,2359,0,1418,1229,,64,101,0,0,0,0,-452
2019/5/1,9:00,2453,0,1458,1194,,63,122,0,1,0,0,-385
2019/5/1,10:00,2485,0,1445,1199,,63,146,0,2,0,0,-370
2019/5/1,11:00,2462,0,1403,1184,,64,202,0,3,0,0,-393
2019/5/1,12:00,2410,0,1439,1178,,63,193,0,4,0,0,-466
2019/5/1,13:00,2429,0,1506,1204,,63,123,0,7,0,0,-474
2019/5/1,14:00,2414,0,1527,1190,,63,90,0,8,0,0,-464
2019/5/1,15:00,2420,0,1649,1220,,64,57,0,3,0,0,-572
2019/5/1,16:00,2471,0,1740,1383,,63,38,0,1,0,0,-752
2019/5/1,17:00,2546,0,1792,1424,,64,17,0,0,0,0,-751
2019/5/1,18:00,2597,0,1780,1431,,63,3,0,0,0,25,-704
2019/5/1,19:00,2581,0,1711,1496,,63,1,0,1,0,26,-715
2019/5/1,20:00,2498,0,1730,1441,,62,0,0,2,0,0,-738
2019/5/1,21:00,2386,0,1755,1247,,64,0,0,8,0,0,-687
2019/5/1,22:00,2283,0,1732,1178,,63,0,0,9,0,0,-698
2019/5/1,23:00,2225,0,1715,1248,,64,0,0,5,0,0,-807
2019/5/2,0:00,2171,0,1721,1237,,64,0,0,3,0,0,-854
2019/5/2,1:00,2260,0,1614,1312,,63,0,0,7,0,0,-737
2019/5/2,2:00,2466,0,1454,1461,,64,0,0,13,0,0,-526
2019/5/2,3:00,2571,0,1377,1534,,63,0,0,15,0,0,-418
2019/5/2,4:00,2581,0,1315,1537,,64,0,0,19,0,0,-355
2019/5/2,5:00,2439,0,1259,1423,,63,15,0,26,0,0,-346
2019/5/2,6:00,2268,0,1138,1306,,64,67,0,29,0,0,-336
2019/5/2,7:00,2181,0,869,1185,,63,233,0,24,0,0,-192
2019/5/2,8:00,2241,0,702,1182,,63,424,0,20,0,0,-150
2019/5/2,9:00,2288,0,519,1196,,64,629,0,14,0,0,-134
2019/5/2,10:00,2310,0,463,1168,,63,758,0,12,0,0,-154
2019/5/2,11:00,2339,0,475,1173,,64,822,0,15,0,-58,-152
2019/5/2,12:00,2301,0,479,1214,,64,812,0,19,0,-122,-165
2019/5/2,13:00,2285,0,473,1232,,63,778,0,17,0,-120,-158
2019/5/2,14:00,2249,0,574,1201,,63,679,0,15,0,-122,-160
2019/5/2,15:00,2232,0,714,1204,,63,518,0,13,0,-120,-159
2019/5/2,16:00,2259,0,1002,1270,,63,324,0,9,0,0,-408
2019/5/2,17:00,2320,0,1066,1329,,64,134,0,12,0,26,-310
2019/5/2,18:00,2391,0,1104,1358,,63,19,0,13,0,99,-263
2019/5/2,19:00,2436,0,1134,1368,,63,0,0,18,0,99,-247
2019/5/2,20:00,2378,0,1112,1383,,64,0,0,13,0,98,-291
2019/5/2,21:00,2285,0,1131,1315,,63,0,0,17,0,50,-291
2019/5/2,22:00,2207,0,1127,1256,,63,0,0,35,0,13,-287
2019/5/2,23:00,2158,0,1126,1227,,63,0,0,54,0,0,-312
2019/5/3,0:00,2096,0,1129,1179,,64,0,0,55,0,0,-331
2019/5/3,1:00,2172,0,1127,1335,,64,0,0,57,0,24,-435
2019/5/3,2:00,2373,0,1127,1458,,63,0,0,52,0,24,-350
2019/5/3,3:00,2514,0,1133,1624,,63,0,0,39,0,0,-346
2019/5/3,4:00,2510,0,1137,1631,,63,0,0,32,0,0,-354
2019/5/3,5:00,2381,0,1067,1552,,63,25,0,30,0,0,-355
2019/5/3,6:00,2185,0,971,1343,,63,135,0,26,0,0,-353
2019/5/3,7:00,2030,0,666,1196,,64,299,0,15,0,0,-210
2019/5/3,8:00,2054,0,538,1136,,63,478,0,11,0,0,-171
2019/5/3,9:00,2107,0,457,1123,,63,620,0,9,0,0,-165
2019/5/3,10:00,2140,0,480,1156,,62,711,0,7,0,-60,-217
2019/5/3,11:00,2185,0,506,1198,,63,787,0,9,0,-82,-295
2019/5/3,12:00,2169,0,506,1148,,63,780,0,10,0,0,-338
2019/5/3,13:00,2131,0,509,1129,,64,733,0,12,0,0,-315
2019/5/3,14:00,2100,0,568,1133,,63,626,0,13,0,-58,-245
2019/5/3,15:00,2095,0,716,1124,,62,471,0,10,0,-122,-167
2019/5/3,16:00,2136,0,923,1168,,63,288,0,7,0,0,-313
2019/5/3,17:00,2206,0,1189,1283,,63,121,0,13,0,1,-462
2019/5/3,18:00,2283,0,1286,1299,,63,18,0,14,0,49,-446
2019/5/3,19:00,2335,0,1281,1229,,63,1,0,16,0,50,-304
2019/5/3,20:00,2262,0,1252,1181,,64,0,0,16,0,0,-251
2019/5/3,21:00,2165,0,1182,1155,,63,0,0,17,0,0,-252
2019/5/3,22:00,2087,0,1028,1187,,64,0,0,17,0,0,-209
2019/5/3,23:00,2056,0,1047,1186,,63,0,0,18,0,0,-257
2019/5/4,0:00,1983,0,1147,1148,,64,0,0,19,0,0,-394
2019/5/4,1:00,2092,0,1210,1213,,63,0,0,17,0,0,-411
2019/5/4,2:00,2321,0,1218,1435,,64,0,0,25,0,0,-421
2019/5/4,3:00,2423,0,1236,1479,,64,0,0,24,0,49,-428
2019/5/4,4:00,2416,0,1238,1486,,63,0,0,18,0,29,-418
2019/5/4,5:00,2288,0,1189,1422,,64,22,0,15,0,0,-424
2019/5/4,6:00,2107,0,989,1154,,63,136,0,16,0,0,-251
2019/5/4,7:00,1990,0,732,1108,,63,324,0,10,0,0,-246
2019/5/4,8:00,2005,0,597,1026,,64,527,0,7,0,0,-215
2019/5/4,9:00,2069,0,613,1096,,64,689,0,5,0,0,-397
2019/5/4,10:00,2127,0,621,1158,,62,797,0,5,0,0,-516
2019/5/4,11:00,2145,0,642,1148,,63,841,0,3,0,0,-553
2019/5/4,12:00,2158,0,679,1109,,63,838,0,2,0,0,-532
2019/5/4,13:00,2104,0,751,1062,,62,790,0,3,0,0,-564
