※データは速報値であり、推計値などが含まれます,,,,,,,,,,,,,
※データは過去にさかのぼり修正する場合があります,,,,,,,,,,,,,
※四捨五入の関係で合計が合わないことがあります,,,,,,,,,,,,,
※例えば、0:00の実績値は、0時00分から1時00分までの1時間平均値を示します,,,,,,,,,,,,,
,,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,太陽光抑制量,風力実績,風力抑制量,揚水,連系線
DATE,TIME,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
2018/11/1,0:00,2963,0,2115,438,,9,0,0,52,0,0,350
2018/11/1,1:00,3025,0,2126,435,,9,0,0,42,0,0,413
2018/11/1,2:00,3235,0,2149,514,,9,0,0,36,0,0,527
2018/11/1,3:00,3402,0,2216,624,,9,0,0,20,0,50,483
2018/11/1,4:00,3422,0,2232,627,,9,1,0,24,0,51,479
2018/11/1,5:00,3343,0,2238,700,,9,1,0,17,0,51,328
2018/11/1,6:00,3354,0,2209,674,,9,12,0,11,0,0,439
2018/11/1,7:00,3370,0,2196,584,,9,79,0,12,0,0,489
2018/11/1,8:00,3549,0,2180,437,,9,173,0,7,0,0,744
2018/11/1,9:00,3689,0,2154,423,,9,312,0,1,0,0,790
2018/11/1,10:00,3728,0,2035,440,,9,443,0,5,0,0,798
2018/11/1,11:00,3709,0,2136,400,,9,425,0,4,0,0,736
2018/11/1,12:00,3523,0,2056,349,,9,552,0,5,0,0,551
2018/11/1,13:00,3652,0,2137,463,,9,352,0,10,0,0,681
2018/11/1,14:00,3674,0,2232,492,,9,200,0,10,0,0,730
2018/11/1,15:00,3596,0,2285,520,,9,80,0,8,0,52,643
2018/11/1,16:00,3685,0,2397,492,,9,25,0,4,0,99,660
2018/11/1,17:00,3766,0,2412,542,,9,1,0,5,0,99,697
2018/11/1,18:00,3724,0,2300,658,,9,1,0,3,0,100,653
2018/11/1,19:00,3578,0,2227,574,,9,1,0,2,0,100,666
2018/11/1,20:00,3480,0,2154,524,,9,0,0,1,0,53,739
2018/11/1,21:00,3351,0,2121,511,,9,0,0,1,0,51,658
2018/11/1,22:00,3264,0,2154,559,,9,0,0,1,0,0,540
2018/11/1,23:00,3161,0,2166,465,,9,0,0,2,0,0,519
2018/11/2,0:00,3027,0,2219,381,,9,0,0,7,0,0,412
2018/11/2,1:00,3067,0,2189,360,,9,0,0,8,0,0,501
2018/11/2,2:00,3298,0,2258,489,,9,0,0,4,0,0,539
2018/11/2,3:00,3461,0,2319,501,,9,0,0,6,0,100,526
2018/11/2,4:00,3498,0,2347,485,,9,1,0,8,0,101,547
2018/11/2,5:00,3414,0,2368,461,,9,1,0,2,0,100,475
2018/11/2,6:00,3417,0,2444,511,,9,8,0,1,0,0,444
2018/11/2,7:00,3431,0,2410,509,,9,83,0,1,0,0,419
2018/11/2,8:00,3557,0,2158,596,,9,217,0,1,0,0,575
2018/11/2,9:00,3693,0,2144,627,,9,335,0,0,0,0,578
2018/11/2,10:00,3657,0,2170,562,,9,464,0,2,0,0,451
2018/11/2,11:00,3617,0,2199,468,,9,548,0,1,0,0,392
2018/11/2,12:00,3383,0,2184,477,,9,488,0,1,0,0,223
2018/11/2,13:00,3553,0,2218,495,,9,422,0,2,0,0,407
2018/11/2,14:00,3600,0,2282,471,,9,359,0,2,0,0,476
2018/11/2,15:00,3532,0,2301,490,,9,178,0,1,0,0,555
2018/11/2,16:00,3570,0,2268,494,,9,34,0,0,0,100,664
2018/11/2,17:00,3623,0,2272,558,,9,1,0,0,0,102,681
