※データは速報値であり、推計値などが含まれます,,,,,,,,,,,,,
※データは過去にさかのぼり修正する場合があります,,,,,,,,,,,,,
※四捨五入の関係で合計が合わないことがあります,,,,,,,,,,,,,
※例えば、0:00の実績値は、0時00分から1時00分までの1時間平均値を示します,,,,,,,,,,,,,
,,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,太陽光抑制量,風力実績,風力抑制量,揚水,連系線
DATE,TIME,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
2019/2/1,0:00,4202,0,2789,540,,7,0,0,49,0,0,817
2019/2/1,1:00,4263,0,2718,628,,7,0,0,41,0,0,869
2019/2/1,2:00,4385,0,2672,809,,7,0,0,42,0,0,856
2019/2/1,3:00,4469,0,2733,807,,7,0,0,44,0,0,878
2019/2/1,4:00,4399,0,2855,823,,7,0,0,51,0,0,662
2019/2/1,5:00,4415,0,3027,705,,7,1,0,48,0,0,627
2019/2/1,6:00,4492,0,3031,804,,7,0,0,41,0,1,607
2019/2/1,7:00,4484,0,2969,848,,7,8,0,37,0,50,566
2019/2/1,8:00,4789,0,2986,825,,7,35,0,32,0,49,855
2019/2/1,9:00,5033,0,2985,919,,7,77,0,22,0,49,973
2019/2/1,10:00,4985,0,2872,822,,7,142,0,10,0,0,1133
2019/2/1,11:00,4893,0,2726,741,,7,197,0,6,0,0,1216
2019/2/1,12:00,4552,0,2571,501,,7,299,0,4,0,0,1170
2019/2/1,13:00,4541,0,2394,635,,8,300,0,2,0,0,1203
2019/2/1,14:00,4474,0,2338,633,,8,280,0,1,0,0,1214
2019/2/1,15:00,4384,0,2386,611,,8,156,0,1,0,0,1223
2019/2/1,16:00,4454,0,2506,716,,8,45,0,1,0,0,1178
2019/2/1,17:00,4529,0,2616,907,,7,2,0,4,0,49,944
2019/2/1,18:00,4506,0,2756,737,,8,0,0,7,0,89,910
2019/2/1,19:00,4354,0,2774,652,,8,0,0,11,0,50,860
2019/2/1,20:00,4226,0,2739,624,,8,0,0,14,0,13,829
2019/2/1,21:00,4035,0,2562,539,,8,0,0,20,0,0,907
2019/2/1,22:00,4006,0,2510,696,,7,0,0,34,0,0,759
2019/2/1,23:00,4131,0,2566,809,,7,0,0,47,0,0,703
2019/2/2,0:00,4050,0,2584,710,,7,0,0,61,0,0,689
2019/2/2,1:00,4093,0,2599,759,,7,0,0,69,0,0,659
2019/2/2,2:00,4201,0,2600,850,,7,0,0,89,0,0,655
2019/2/2,3:00,4174,0,2530,926,,7,0,0,75,0,0,636
2019/2/2,4:00,4056,0,2459,876,,7,0,0,60,0,0,654
2019/2/2,5:00,3889,0,2402,811,,7,0,0,24,0,0,645
2019/2/2,6:00,3782,0,2390,702,,7,0,0,23,0,0,660
2019/2/2,7:00,3753,0,2359,629,,7,11,0,40,0,0,708
2019/2/2,8:00,3881,0,2273,723,,7,65,0,32,0,0,781
2019/2/2,9:00,3903,0,2205,611,,7,190,0,43,0,0,847
2019/2/2,10:00,3783,0,2298,420,,7,215,0,43,0,0,801
2019/2/2,11:00,3756,0,2309,376,,7,314,0,45,0,0,704
2019/2/2,12:00,3544,0,2268,336,,7,309,0,45,0,0,579
2019/2/2,13:00,3516,0,2313,356,,7,282,0,33,0,0,525
2019/2/2,14:00,3473,0,2280,437,,7,203,0,21,0,0,525
2019/2/2,15:00,3453,0,2356,467,,7,113,0,20,0,0,491
2019/2/2,16:00,3514,0,2406,591,,7,35,0,14,0,0,461
2019/2/2,17:00,3637,0,2400,780,,7,2,0,16,0,0,432
2019/2/2,18:00,3696,0,2412,817,,7,0,0,13,0,0,446
2019/2/2,19:00,3613,0,2404,759,,7,0,0,12,0,0,431
2019/2/2,20:00,3565,0,2407,724,,7,0,0,16,0,0,411
2019/2/2,21:00,3430,0,2406,603,,7,0,0,22,0,0,393
2019/2/2,22:00,3386,0,2386,587,,7,0,0,24,0,0,383
2019/2/2,23:00,3471,0,2372,698,,7,0,0,24,0,0,370
2019/2/3,0:00,3451,0,2377,693,,7,0,0,35,0,0,338
2019/2/3,1:00,3554,0,2372,800,,7,0,0,35,0,0,339
2019/2/3,2:00,3731,0,2367,1024,,7,0,0,23,0,0,311
2019/2/3,3:00,3781,0,2373,1078,,7,0,0,19,0,0,303
2019/2/3,4:00,3714,0,2371,1032,,7,0,0,21,0,0,283
2019/2/3,5:00,3527,0,2317,872,,7,0,0,22,0,0,309
2019/2/3,6:00,3324,0,2298,663,,7,0,0,38,0,0,317
2019/2/3,7:00,3218,0,2298,504,,7,38,0,38,0,0,332
2019/2/3,8:00,3194,0,2320,404,,7,185,0,34,0,0,243
2019/2/3,9:00,3221,0,2330,469,,7,236,0,26,0,0,152
2019/2/3,10:00,3241,0,2185,776,,7,166,0,24,0,0,83
2019/2/3,11:00,3221,0,2186,847,,7,117,0,20,0,0,44
2019/2/3,12:00,3214,0,2158,884,,7,81,0,18,0,0,66
2019/2/3,13:00,3185,0,2047,816,,7,68,0,14,0,0,233
2019/2/3,14:00,3174,0,1902,813,,7,35,0,15,0,0,401
2019/2/3,15:00,3193,0,2087,814,,7,21,0,30,0,0,234
2019/2/3,16:00,3313,0,2305,664,,7,9,0,48,0,0,280
2019/2/3,17:00,3520,0,2360,1001,,7,0,0,38,0,26,87
2019/2/3,18:00,3538,0,2430,976,,7,0,0,40,0,24,61
2019/2/3,19:00,3446,0,2558,705,,7,0,0,57,0,0,119
2019/2/3,20:00,3347,0,2621,582,,7,0,0,61,0,0,76
2019/2/3,21:00,3184,0,2526,464,,7,0,0,82,0,0,105
2019/2/3,22:00,3109,0,2221,474,,7,0,0,96,0,0,312
2019/2/3,23:00,3158,0,2173,491,,7,0,0,106,0,0,381
2019/2/4,0:00,3080,0,2162,500,,7,0,0,109,0,0,303
2019/2/4,1:00,3235,0,2262,531,,7,0,0,98,0,0,338
2019/2/4,2:00,3484,0,2351,651,,7,0,0,96,0,0,379
2019/2/4,3:00,3625,0,2363,714,,7,0,0,102,0,0,439
2019/2/4,4:00,3620,0,2325,698,,7,0,0,100,0,0,490
2019/2/4,5:00,3523,0,2221,719,,7,0,0,99,0,0,476
2019/2/4,6:00,3520,0,2128,915,,7,0,0,92,0,0,378
2019/2/4,7:00,3619,0,2130,989,,7,8,0,74,0,0,411
2019/2/4,8:00,3951,0,2202,930,,7,51,0,48,0,0,713
2019/2/4,9:00,4141,0,2184,902,,7,138,0,39,0,0,871
2019/2/4,10:00,4126,0,1861,768,,7,227,0,70,0,0,1192
2019/2/4,11:00,4150,0,1981,769,,7,211,0,56,0,0,1126
2019/2/4,12:00,3924,0,1954,794,,7,135,0,54,0,0,980
2019/2/4,13:00,4133,0,1949,769,,7,134,0,64,0,0,1210
2019/2/4,14:00,4172,0,2061,707,,7,91,0,66,0,0,1241
2019/2/4,15:00,4142,0,2067,724,,7,95,0,62,0,0,1188
2019/2/4,16:00,4184,0,2393,830,,7,43,0,46,0,1,864
