※データは速報値であり、推計値などが含まれます,,,,,,,,,,,,,
※データは過去にさかのぼり修正する場合があります,,,,,,,,,,,,,
※四捨五入の関係で合計が合わないことがあります,,,,,,,,,,,,,
※例えば、0:00の実績値は、0時00分から1時00分までの1時間平均値を示します,,,,,,,,,,,,,
,,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,太陽光抑制量,風力実績,風力抑制量,揚水,連系線
DATE,TIME,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
2020/2/1,0:00,3687,0,3175,627,,62,0,0,31,0,0,-208
2020/2/1,1:00,3745,0,3244,650,,62,0,0,25,0,0,-236
2020/2/1,2:00,3879,0,3258,766,,61,0,0,39,0,0,-244
2020/2/1,3:00,3939,0,3257,841,,62,0,0,39,0,0,-259
2020/2/1,4:00,3872,0,3217,805,,61,0,0,45,0,0,-257
2020/2/1,5:00,3707,0,3216,724,,62,0,0,39,0,0,-334
2020/2/1,6:00,3574,0,3197,712,,62,0,0,35,0,0,-432
2020/2/1,7:00,3541,0,3120,694,,61,12,0,28,0,0,-375
2020/2/1,8:00,3691,0,3131,734,,62,48,0,20,0,0,-304
2020/2/1,9:00,3801,0,3127,717,,62,105,0,24,0,0,-233
2020/2/1,10:00,3723,0,3118,558,,62,169,0,19,0,0,-202
2020/2/1,11:00,3648,0,3066,534,,64,194,0,26,0,0,-235
2020/2/1,12:00,3478,0,2859,531,,63,208,0,17,0,0,-200
2020/2/1,13:00,3427,0,2864,646,,64,196,0,22,0,0,-365
2020/2/1,14:00,3363,0,2985,549,,59,180,0,22,0,0,-432
2020/2/1,15:00,3335,0,2978,526,,59,152,0,21,0,0,-400
2020/2/1,16:00,3379,0,3114,572,,59,53,0,19,0,0,-437
2020/2/1,17:00,3523,0,3129,832,,59,3,0,16,0,0,-515
2020/2/1,18:00,3580,0,3178,853,,59,0,0,11,0,0,-520
2020/2/1,19:00,3520,0,3170,841,,59,0,0,21,0,0,-570
2020/2/1,20:00,3461,0,3126,801,,59,0,0,19,0,0,-544
2020/2/1,21:00,3380,0,3123,636,,58,0,0,14,0,0,-451
2020/2/1,22:00,3351,0,3109,599,,59,0,0,14,0,0,-430
2020/2/1,23:00,3419,0,3102,614,,60,0,0,12,0,0,-369
2020/2/2,0:00,3390,0,3147,557,,59,0,0,9,0,0,-381
2020/2/2,1:00,3464,0,3207,526,,60,0,0,7,0,0,-336
2020/2/2,2:00,3631,0,3246,618,,60,0,0,5,0,0,-297
2020/2/2,3:00,3668,0,3258,652,,59,0,0,5,0,0,-306
2020/2/2,4:00,3588,0,3163,692,,59,0,0,6,0,0,-333
2020/2/2,5:00,3396,0,3088,595,,59,0,0,6,0,0,-352
2020/2/2,6:00,3221,0,2909,660,,59,0,0,6,0,0,-413
2020/2/2,7:00,3178,0,2876,680,,58,29,0,3,0,0,-467
2020/2/2,8:00,3196,0,2892,682,,58,132,0,1,0,0,-569
2020/2/2,9:00,3196,0,2850,645,,59,339,0,1,0,0,-696
2020/2/2,10:00,2996,0,2575,574,,57,485,0,0,0,0,-696
2020/2/2,11:00,2906,0,2284,498,,59,535,0,0,0,0,-469
2020/2/2,12:00,2842,0,2270,493,,58,523,0,0,0,0,-501
2020/2/2,13:00,2752,0,2160,504,,58,490,0,0,0,0,-461
2020/2/2,14:00,2665,0,2108,523,,58,387,0,0,0,0,-410
2020/2/2,15:00,2709,0,2362,578,,58,230,0,1,0,0,-521
2020/2/2,16:00,2882,0,2761,642,,58,58,0,0,0,0,-637
2020/2/2,17:00,3188,0,3009,797,,59,3,0,0,0,0,-680
2020/2/2,18:00,3321,0,3018,910,,59,0,0,3,0,0,-669
2020/2/2,19:00,3305,0,3004,968,,57,0,0,6,0,0,-730
2020/2/2,20:00,3246,0,3034,920,,59,0,0,15,0,0,-782
2020/2/2,21:00,3132,0,3107,668,,59,0,0,16,0,0,-719
2020/2/2,22:00,3104,0,3152,568,,58,0,0,16,0,0,-689
2020/2/2,23:00,3175,0,3179,560,,59,0,0,17,0,0,-639
2020/2/3,0:00,3209,0,3277,708,,59,0,0,22,0,0,-856
