※データは速報値であり、推計値などが含まれます,,,,,,,,,,,,,
※データは過去にさかのぼり修正する場合があります,,,,,,,,,,,,,
※四捨五入の関係で合計が合わないことがあります,,,,,,,,,,,,,
※例えば、0:00の実績値は、0時00分から1時00分までの1時間平均値を示します,,,,,,,,,,,,,
,,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,太陽光抑制量,風力実績,風力抑制量,揚水,連系線
DATE,TIME,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
2019/7/1,0:00,2341,0,1480,1499,,68,0,0,14,0,0,-719
2019/7/1,1:00,2334,0,1608,1505,,68,0,0,12,0,0,-860
2019/7/1,2:00,2471,0,1681,1442,,68,0,0,15,0,0,-734
2019/7/1,3:00,2630,0,1746,1456,,68,0,0,6,0,0,-646
2019/7/1,4:00,2665,0,1847,1483,,68,1,0,4,0,0,-737
2019/7/1,5:00,2586,0,1883,1486,,66,16,0,3,0,0,-869
2019/7/1,6:00,2583,0,1849,1465,,68,73,0,0,0,0,-872
2019/7/1,7:00,2765,0,1742,1365,,67,178,0,0,0,0,-587
2019/7/1,8:00,3180,0,1752,1419,,67,300,0,1,0,1,-360
2019/7/1,9:00,3566,0,1841,1449,,66,373,0,1,0,50,-213
2019/7/1,10:00,3705,0,1927,1462,,67,513,0,1,0,98,-363
2019/7/1,11:00,3830,0,1998,1503,,66,602,0,4,0,49,-392
2019/7/1,12:00,3658,0,1998,1452,,66,563,0,8,0,0,-428
2019/7/1,13:00,3873,0,2218,1508,,66,396,0,7,0,2,-325
2019/7/1,14:00,3849,0,2217,1467,,66,322,0,7,0,49,-280
2019/7/1,15:00,3797,0,2233,1508,,66,312,0,9,0,75,-406
2019/7/1,16:00,3799,0,2329,1386,,66,250,0,6,0,50,-287
2019/7/1,17:00,3635,0,2352,1445,,66,127,0,4,0,25,-384
2019/7/1,18:00,3526,0,2352,1441,,67,37,0,7,0,0,-378
2019/7/1,19:00,3426,0,2318,1465,,66,3,0,11,0,0,-436
2019/7/1,20:00,3312,0,2232,1516,,67,0,0,18,0,0,-522
2019/7/1,21:00,3148,0,2230,1478,,66,0,0,22,0,0,-648
2019/7/1,22:00,3025,0,2211,1430,,67,0,0,30,0,0,-714
2019/7/1,23:00,2933,0,2175,1312,,67,0,0,37,0,0,-656
2019/7/2,0:00,2820,0,2171,1308,,67,0,0,33,0,0,-760
2019/7/2,1:00,2776,0,2232,1310,,67,0,0,28,0,0,-862
2019/7/2,2:00,2906,0,2283,1352,,66,0,0,26,0,0,-821
2019/7/2,3:00,3072,0,2345,1487,,67,0,0,20,0,0,-847
2019/7/2,4:00,3036,0,2319,1497,,67,1,0,14,0,0,-861
2019/7/2,5:00,2920,0,2346,1452,,66,14,0,7,0,0,-964
2019/7/2,6:00,2882,0,2372,1382,,67,55,0,4,0,0,-998
2019/7/2,7:00,3028,0,2419,1419,,67,179,0,1,0,0,-1058
2019/7/2,8:00,3439,0,2448,1486,,66,332,0,1,0,0,-895
2019/7/2,9:00,3805,0,2549,1558,,66,420,0,1,0,0,-789
2019/7/2,10:00,3886,0,2653,1522,,67,467,0,1,0,0,-823
2019/7/2,11:00,3960,0,2769,1425,,66,537,0,1,0,25,-863
2019/7/2,12:00,3792,0,2834,1364,,66,390,0,2,0,1,-865
2019/7/2,13:00,3940,0,2817,1436,,66,344,0,1,0,0,-725
2019/7/2,14:00,3977,0,2702,1449,,66,371,0,0,0,1,-612
2019/7/2,15:00,3929,0,2620,1462,,67,299,0,0,0,74,-593
2019/7/2,16:00,3879,0,2569,1524,,66,193,0,0,0,99,-571
