※データは速報値であり、推計値などが含まれます,,,,,,,,,,,,,
※データは過去にさかのぼり修正する場合があります,,,,,,,,,,,,,
※四捨五入の関係で合計が合わないことがあります,,,,,,,,,,,,,
※例えば、0:00の実績値は、0時00分から1時00分までの1時間平均値を示します,,,,,,,,,,,,,
,,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,太陽光抑制量,風力実績,風力抑制量,揚水,連系線
DATE,TIME,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
2016/4/1,0:00,2929,0,2395,661,0,10,0,0,12,0,0,-148
2016/4/1,1:00,3072,0,2349,714,0,10,0,0,9,0,0,-10
2016/4/1,2:00,3265,0,2472,842,0,10,0,0,8,0,0,-67
2016/4/1,3:00,3371,0,2520,845,0,10,0,0,16,0,0,-20
2016/4/1,4:00,3392,0,2503,869,0,10,0,0,25,0,0,-15
2016/4/1,5:00,3317,0,2506,784,0,10,2,0,31,0,0,-15
2016/4/1,6:00,3222,0,2498,678,0,10,26,0,38,0,0,-28
2016/4/1,7:00,3095,0,2367,612,0,10,90,0,33,0,0,-18
2016/4/1,8:00,3208,0,2383,638,0,10,181,0,25,0,0,-27
2016/4/1,9:00,3360,0,2431,693,0,10,275,0,21,0,0,-68
2016/4/1,10:00,3380,0,2405,677,0,10,331,0,23,0,0,-66
2016/4/1,11:00,3404,0,2360,698,0,10,361,0,28,0,0,-51
2016/4/1,12:00,3166,0,2149,725,0,10,312,0,29,0,0,-59
2016/4/1,13:00,3337,0,2355,749,0,10,239,0,25,0,0,-41
2016/4/1,14:00,3356,0,2400,733,0,10,178,0,23,0,0,12
2016/4/1,15:00,3300,0,2381,726,0,10,142,0,20,0,0,22
2016/4/1,16:00,3276,0,2275,869,0,10,85,0,18,0,0,19
2016/4/1,17:00,3215,0,2239,914,0,10,25,0,19,0,0,9
2016/4/1,18:00,3282,0,2251,1005,0,10,1,0,25,0,0,-10
2016/4/1,19:00,3216,0,2239,933,0,10,0,0,29,0,0,5
2016/4/1,20:00,3084,0,2170,878,0,10,0,0,29,0,0,-2
2016/4/1,21:00,2967,0,2154,786,0,10,0,0,23,0,0,-5
2016/4/1,22:00,2923,0,2160,836,0,10,0,0,8,0,0,-91
2016/4/1,23:00,2879,0,2161,830,0,10,0,0,7,0,0,-129
2016/4/2,0:00,2837,0,2127,798,0,10,0,0,8,0,0,-106
2016/4/2,1:00,2934,0,2189,842,0,10,0,0,9,0,0,-116
2016/4/2,2:00,3155,0,2277,982,0,10,0,0,2,0,0,-115
2016/4/2,3:00,3239,0,2345,998,0,10,0,0,0,0,0,-114
2016/4/2,4:00,3244,0,2361,994,0,10,0,0,0,0,0,-121
2016/4/2,5:00,3104,0,2305,919,0,10,2,0,0,0,0,-132
2016/4/2,6:00,2899,0,2190,796,0,9,27,0,0,0,0,-123
2016/4/2,7:00,2742,0,2067,729,0,10,99,0,0,0,0,-163
