単位[MWh],,,,,,,,,,,,,,
,,,供給力,,,,,,,,,,,
月日,時刻,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,太陽光抑制量,風力実績,風力抑制量,揚水,連系線,供給力合計
,,,,,,,,,,,,,,
2018/10/1,0時,2602,0,2011,422,15,11,0,0,80,0,0,63,2602
,1時,2604,0,1992,444,15,11,0,0,79,0,0,62,2604
,2時,2734,0,2074,492,16,11,0,0,76,0,0,65,2734
,3時,2886,0,2217,489,15,11,0,0,87,0,0,67,2886
,4時,2919,0,2210,494,15,11,0,0,115,0,0,73,2919
,5時,2822,0,2089,477,15,11,0,0,160,0,0,69,2822
,6時,2890,0,2113,497,15,11,33,0,155,0,0,66,2890
,7時,3000,0,2219,507,15,11,53,0,135,0,0,60,3000
,8時,3172,0,2237,520,15,11,141,0,148,0,11,89,3172
,9時,3317,0,2194,536,15,11,282,0,170,0,25,83,3317
,10時,3305,0,1993,525,15,11,463,0,179,0,29,90,3305
,11時,3485,0,2199,531,15,11,437,0,165,0,30,97,3485
,12時,3210,0,1944,506,15,11,470,0,155,0,21,88,3210
,13時,3341,0,2092,523,15,11,501,0,167,0,-67,98,3341
,14時,3384,0,2204,548,15,11,365,0,175,0,-31,97,3384
,15時,3457,0,2467,559,15,11,103,0,192,0,11,99,3457
,16時,3504,0,2499,553,15,11,24,0,199,0,99,104,3504
,17時,3592,0,2588,564,15,11,0,0,193,0,109,112,3592
,18時,3602,0,2570,598,16,11,0,0,201,0,96,110,3602
,19時,3424,0,2439,573,17,11,0,0,195,0,79,110,3424
,20時,3216,0,2288,535,16,11,0,0,205,0,74,87,3216
,21時,3008,0,2097,543,16,11,0,0,197,0,51,92,3008
,22時,2821,0,1978,553,16,11,0,0,170,0,24,69,2821
,23時,2746,0,1993,553,16,11,0,0,105,0,0,68,2746
2018/10/2,0時,2563,0,1851,518,20,11,0,0,95,0,0,68,2563
,1時,2551,0,1839,527,19,11,0,0,87,0,0,67,2551
,2時,2678,0,1916,572,19,11,0,0,93,0,0,66,2678
,3時,2796,0,1984,554,19,11,0,0,121,0,39,67,2796
,4時,2856,0,1986,561,20,11,0,0,125,0,79,73,2856
,5時,2799,0,1948,550,19,11,0,0,137,0,68,66,2799
,6時,2820,0,1977,517,19,11,63,0,163,0,4,66,2820
,7時,2883,0,1887,518,20,11,243,0,146,0,0,57,2883
,8時,3081,0,1905,544,19,11,386,0,122,0,3,91,3081
,9時,3297,0,2132,560,19,11,490,0,112,0,-107,80,3297
