,,,,,,,ëæózåı,ëæózåı,ïóóÕ,ïóóÕ,,
DATE_TIME,ÉGÉäÉAé˘óvÅkMWhÅl,å¥éqóÕÅkMWhÅl,âŒóÕÅkMWhÅl,êÖóÕÅkMWhÅl,ínîMÅkMWhÅl,ÉoÉCÉIÉ}ÉXÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,ógêÖÅkMWhÅl,òAånê¸ÅkMWhÅl
2016/4/1 0:00,7449,1782,6381,374,145,23,0,0,44,0,0,-1300
2016/4/1 1:00,7658,1782,6665,304,145,23,0,0,35,0,0,-1296
2016/4/1 2:00,8180,1781,7249,363,145,23,0,0,43,0,0,-1424
2016/4/1 3:00,8798,1782,7583,530,145,23,0,0,55,0,0,-1320
2016/4/1 4:00,8922,1780,7633,541,145,23,0,0,60,0,0,-1260
2016/4/1 5:00,8773,1781,7426,538,145,23,0,0,68,0,0,-1208
2016/4/1 6:00,8823,1781,7377,567,145,23,14,0,80,0,0,-1164
2016/4/1 7:00,9146,1779,7527,615,145,23,159,0,78,0,0,-1180
2016/4/1 8:00,9443,1783,7872,612,145,23,372,0,84,0,0,-1448
2016/4/1 9:00,9758,1781,7799,524,145,23,800,0,90,0,0,-1404
2016/4/1 10:00,9923,1782,7378,533,145,23,1427,0,95,0,0,-1460
2016/4/1 11:00,9862,1782,7113,517,145,24,1564,0,93,0,0,-1376
2016/4/1 12:00,9260,1780,6800,362,145,24,1633,0,80,0,0,-1564
2016/4/1 13:00,9759,1781,6879,453,145,24,1746,0,87,0,0,-1356
2016/4/1 14:00,9404,1780,6875,470,145,24,1426,0,92,0,0,-1408
2016/4/1 15:00,9502,1782,7018,507,145,24,1312,0,78,0,0,-1364
2016/4/1 16:00,9624,1781,7689,536,145,24,827,0,78,0,0,-1456
2016/4/1 17:00,9623,1771,7894,683,145,24,356,0,78,0,0,-1328
2016/4/1 18:00,9932,1777,8201,892,145,24,29,0,73,0,23,-1232
2016/4/1 19:00,9944,1779,8164,1047,145,24,0,0,67,0,22,-1304
2016/4/1 20:00,9530,1779,7956,828,145,24,0,0,42,0,0,-1244
2016/4/1 21:00,9086,1785,7632,647,145,24,0,0,29,0,0,-1176
2016/4/1 22:00,8779,1780,7583,311,145,24,0,0,16,0,0,-1080
2016/4/1 23:00,8127,1784,6916,302,145,24,0,0,20,0,0,-1064
2016/4/2 0:00,7493,1780,6549,311,145,22,0,0,30,0,0,-1344
2016/4/2 1:00,7659,1784,6613,283,145,22,0,0,36,0,0,-1224
2016/4/2 2:00,8060,1783,7007,342,145,22,0,0,25,0,0,-1264
2016/4/2 3:00,8598,1782,7498,456,145,22,0,0,30,0,45,-1380
2016/4/2 4:00,8761,1784,7381,568,145,22,0,0,38,0,91,-1268
2016/4/2 5:00,8527,1783,7222,552,145,22,0,0,51,0,52,-1300
2016/4/2 6:00,8169,1781,6907,526,145,22,45,0,55,0,0,-1312
2016/4/2 7:00,7978,1783,6369,514,145,22,441,0,44,0,0,-1340
