,,,,,,,ëæózåı,ëæózåı,ïóóÕ,ïóóÕ,,
DATE_TIME,ÉGÉäÉAé˘óvÅkMWhÅl,å¥éqóÕÅkMWhÅl,âŒóÕÅkMWhÅl,êÖóÕÅkMWhÅl,ínîMÅkMWhÅl,ÉoÉCÉIÉ}ÉXÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,ógêÖÅkMWhÅl,òAånê¸ÅkMWhÅl
2016/10/1 0:00,8298,1745,7353,666,104,15,0,0,7,0,0,-1592
2016/10/1 1:00,8093,1745,7168,680,104,15,0,0,9,0,0,-1628
2016/10/1 2:00,8055,1749,6966,814,104,15,0,0,7,0,0,-1600
2016/10/1 3:00,8383,1746,7085,900,104,15,0,0,5,0,0,-1472
2016/10/1 4:00,8747,1747,7296,1099,104,15,0,0,6,0,0,-1520
2016/10/1 5:00,8743,1750,7195,1173,104,15,0,0,6,0,0,-1500
2016/10/1 6:00,8649,1750,7249,1048,104,15,35,0,4,0,0,-1556
2016/10/1 7:00,8958,1750,7204,948,104,15,542,0,3,0,-108,-1500
2016/10/1 8:00,9758,1753,7559,881,104,15,1387,0,4,0,-173,-1772
2016/10/1 9:00,10708,1749,7730,762,104,15,2089,0,7,0,0,-1748
2016/10/1 10:00,11188,1749,7576,633,104,15,2727,0,8,0,0,-1624
2016/10/1 11:00,11712,1747,7641,632,104,15,3264,0,5,0,0,-1696
2016/10/1 12:00,12058,1744,7702,651,104,15,3913,0,1,0,-352,-1720
2016/10/1 13:00,12254,1743,8230,683,104,15,3688,0,0,0,-541,-1668
2016/10/1 14:00,12011,1739,8135,650,104,15,2858,0,1,0,-119,-1372
2016/10/1 15:00,11749,1744,8088,914,104,15,1784,0,1,0,491,-1392
2016/10/1 16:00,11822,1745,7992,1057,104,15,981,0,2,0,1146,-1220
2016/10/1 17:00,11619,1739,7601,1189,104,15,176,0,3,0,1400,-608
2016/10/1 18:00,11750,1740,7959,1236,104,15,0,0,2,0,1462,-768
2016/10/1 19:00,11368,1743,8032,1167,104,15,0,0,3,0,552,-248
2016/10/1 20:00,10788,1751,8319,1102,104,15,0,0,3,0,62,-568
2016/10/1 21:00,10059,1749,7897,968,104,16,0,0,1,0,0,-676
2016/10/1 22:00,9454,1749,7519,780,104,16,0,0,2,0,0,-716
2016/10/1 23:00,8737,1748,7210,738,104,16,0,0,0,0,-459,-620
2016/10/2 0:00,8019,1746,7546,681,104,15,0,0,1,0,-734,-1340
2016/10/2 1:00,7737,1745,7579,657,104,15,0,0,1,0,-928,-1436
2016/10/2 2:00,7759,1742,7494,658,104,15,0,0,1,0,-927,-1328
2016/10/2 3:00,8080,1741,7760,601,104,15,0,0,1,0,-694,-1448
2016/10/2 4:00,8392,1746,7810,975,104,15,0,0,3,0,-601,-1660
2016/10/2 5:00,8365,1745,7461,1060,104,15,0,0,4,0,-600,-1424
2016/10/2 6:00,8145,1747,7409,844,104,15,20,0,6,0,-600,-1400
2016/10/2 7:00,8154,1744,6992,768,104,15,431,0,7,0,-631,-1276
2016/10/2 8:00,8492,1747,6887,670,104,15,1306,0,4,0,-849,-1392
2016/10/2 9:00,9301,1747,6975,692,104,15,2272,0,5,0,-1069,-1440
2016/10/2 10:00,10088,1747,6935,629,104,16,3150,0,8,0,-1073,-1428
2016/10/2 11:00,10419,1748,7058,618,104,16,3462,0,9,0,-1064,-1532
2016/10/2 12:00,10855,1746,7080,583,104,16,3627,0,11,0,-880,-1432
2016/10/2 13:00,10825,1742,7116,397,104,16,3103,0,12,0,-269,-1396
2016/10/2 14:00,10966,1743,7154,587,104,16,2835,0,13,0,-118,-1368
2016/10/2 15:00,10916,1743,7858,684,104,16,1825,0,14,0,0,-1328
2016/10/2 16:00,11012,1737,8628,939,104,16,948,0,12,0,0,-1372
2016/10/2 17:00,11143,1738,9404,1100,107,16,151,0,13,0,62,-1448
2016/10/2 18:00,11583,1735,9398,1263,122,16,0,0,12,0,345,-1308
2016/10/2 19:00,11247,1742,9316,1204,137,16,0,0,9,0,119,-1296
2016/10/2 20:00,10641,1745,8990,1144,137,16,0,0,9,0,0,-1400
2016/10/2 21:00,9958,1746,8508,1001,137,16,0,0,18,0,0,-1468
2016/10/2 22:00,9360,1746,7938,861,137,16,0,0,26,0,0,-1364
2016/10/2 23:00,8681,1747,7361,829,137,16,0,0,39,0,0,-1448
2016/10/3 0:00,8041,1747,6979,707,137,14,0,0,43,0,-42,-1544
2016/10/3 1:00,7748,1742,7071,688,137,14,0,0,50,0,-542,-1412
2016/10/3 2:00,7793,1745,7049,681,137,14,0,0,48,0,-565,-1316
2016/10/3 3:00,8149,1746,7091,869,137,14,0,0,35,0,-299,-1444
2016/10/3 4:00,8459,1746,7033,981,137,14,0,0,28,0,0,-1480
2016/10/3 5:00,8693,1748,7220,983,137,14,0,0,22,0,-19,-1412
2016/10/3 6:00,8942,1749,7775,858,137,14,10,0,14,0,-83,-1532
2016/10/3 7:00,9502,1750,7925,689,137,14,275,0,8,0,0,-1296
2016/10/3 8:00,10451,1750,8219,622,137,14,970,0,7,0,0,-1268
2016/10/3 9:00,11483,1751,8404,655,137,14,1619,0,3,0,0,-1100
2016/10/3 10:00,11983,1750,8479,595,137,14,2113,0,3,0,0,-1108
2016/10/3 11:00,12388,1749,8598,596,137,14,2397,0,1,0,0,-1104
2016/10/3 12:00,12278,1747,8507,512,137,14,2421,0,4,0,0,-1064
2016/10/3 13:00,12787,1748,9125,521,137,14,2088,0,6,0,0,-852
2016/10/3 14:00,12685,1747,9612,653,137,14,1140,0,1,0,341,-960
2016/10/3 15:00,12588,1744,9498,730,137,14,672,0,2,0,671,-880
2016/10/3 16:00,12467,1742,9474,803,137,14,259,0,9,0,981,-952
2016/10/3 17:00,12412,1736,9477,976,137,14,45,0,14,0,1029,-1016
2016/10/3 18:00,12510,1741,9495,1064,137,14,0,0,21,0,1078,-1040
2016/10/3 19:00,11913,1745,9497,1048,137,15,0,0,22,0,657,-1208
2016/10/3 20:00,11252,1749,9262,977,137,15,0,0,35,0,145,-1068
2016/10/3 21:00,10472,1750,9146,776,137,15,0,0,60,0,0,-1412
2016/10/3 22:00,9959,1749,8767,706,137,15,0,0,65,0,-104,-1376
2016/10/3 23:00,9274,1750,8544,673,137,15,0,0,77,0,-558,-1364
2016/10/4 0:00,8582,1749,8695,500,134,13,0,0,84,0,-1025,-1568
2016/10/4 1:00,8266,1749,8549,711,134,13,0,0,63,0,-1497,-1456
2016/10/4 2:00,8320,1744,8667,664,134,13,0,0,65,0,-1415,-1552
2016/10/4 3:00,8578,1745,8614,721,134,13,0,0,79,0,-1172,-1556
2016/10/4 4:00,8925,1746,8593,710,134,13,0,0,91,0,-890,-1472
2016/10/4 5:00,9049,1750,8669,771,134,13,0,0,100,0,-840,-1548
2016/10/4 6:00,9383,1751,8993,742,134,13,20,0,96,0,-854,-1512
2016/10/4 7:00,9742,1751,8844,495,134,13,318,0,107,0,-348,-1572
2016/10/4 8:00,10548,1750,8576,480,134,13,973,0,112,0,-18,-1472
2016/10/4 9:00,11648,1752,8304,642,134,13,1990,0,125,0,0,-1312
2016/10/4 10:00,12263,1751,8102,612,134,14,2632,0,134,0,0,-1116
2016/10/4 11:00,12533,1751,8328,611,134,14,2655,0,132,0,0,-1092
2016/10/4 12:00,12160,1750,8529,576,131,14,2258,0,126,0,0,-1224
2016/10/4 13:00,12582,1749,8909,570,134,14,2153,0,137,0,0,-1084
2016/10/4 14:00,12592,1750,9525,569,134,14,1717,0,131,0,0,-1248
2016/10/4 15:00,12410,1749,9760,572,134,14,1021,0,115,0,233,-1188
2016/10/4 16:00,12280,1745,9579,1027,134,14,367,0,128,0,378,-1092
2016/10/4 17:00,12142,1744,9646,972,134,14,67,0,128,0,541,-1104
2016/10/4 18:00,12358,1746,9443,1214,134,14,0,0,135,0,600,-928
2016/10/4 19:00,11825,1750,9594,1089,134,14,0,0,135,0,445,-1336
2016/10/4 20:00,11123,1754,9496,980,134,14,0,0,159,0,74,-1488
2016/10/4 21:00,10391,1753,9022,719,134,14,0,0,153,0,0,-1404
2016/10/4 22:00,9907,1753,8637,678,134,14,0,0,147,0,0,-1456
2016/10/4 23:00,9308,1752,8041,659,134,14,0,0,152,0,0,-1444
2016/10/5 0:00,8608,1754,7732,700,135,15,0,0,156,0,-296,-1588
2016/10/5 1:00,8348,1750,7634,719,135,15,0,0,164,0,-741,-1328
2016/10/5 2:00,8360,1749,7613,681,135,15,0,0,150,0,-651,-1332
2016/10/5 3:00,8708,1746,7663,630,135,15,0,0,156,0,-377,-1260
2016/10/5 4:00,9042,1742,8078,677,135,15,0,0,153,0,-242,-1516
2016/10/5 5:00,9109,1746,8008,738,135,15,0,0,147,0,-96,-1584
2016/10/5 6:00,9319,1743,8075,805,135,15,6,0,132,0,0,-1592
2016/10/5 7:00,9817,1742,8546,779,135,15,118,0,130,0,0,-1648
2016/10/5 8:00,10873,1742,8972,779,135,15,367,0,123,0,0,-1260
2016/10/5 9:00,11705,1743,9236,858,134,15,722,0,133,0,0,-1136
2016/10/5 10:00,12090,1742,9068,795,133,15,1361,0,124,0,0,-1148
2016/10/5 11:00,12218,1741,8857,769,133,15,1801,0,122,0,0,-1220
2016/10/5 12:00,11750,1742,8069,724,133,15,2136,0,123,0,0,-1192
2016/10/5 13:00,12246,1740,8337,715,133,15,2151,0,127,0,0,-972
2016/10/5 14:00,12172,1742,8606,725,133,15,1920,0,103,0,0,-1072
2016/10/5 15:00,12213,1742,8789,916,134,15,1672,0,89,0,0,-1144
2016/10/5 16:00,12105,1742,9267,982,135,15,951,0,57,0,0,-1044
2016/10/5 17:00,11735,1742,9697,1092,135,15,166,0,28,0,0,-1140
2016/10/5 18:00,11815,1695,9469,1169,135,15,0,0,17,0,39,-724
2016/10/5 19:00,11378,1514,9098,1223,135,16,0,0,7,0,293,-908
2016/10/5 20:00,10714,1425,8717,1206,135,16,0,0,2,0,573,-1360
2016/10/5 21:00,10008,1346,8620,1064,135,16,0,0,2,0,385,-1560
2016/10/5 22:00,9534,1235,8559,953,135,16,0,0,3,0,261,-1628
2016/10/5 23:00,8912,1029,8521,802,135,16,0,0,3,0,86,-1680
2016/10/6 0:00,8239,938,8021,799,135,16,0,0,2,0,0,-1672
2016/10/6 1:00,7993,867,7621,844,135,16,0,0,2,0,0,-1492
2016/10/6 2:00,8066,866,7741,794,135,16,0,0,2,0,0,-1488
2016/10/6 3:00,8343,865,7940,789,135,16,0,0,6,0,0,-1408
2016/10/6 4:00,8720,865,8540,769,135,16,0,0,7,0,0,-1612
2016/10/6 5:00,8852,866,8580,824,135,16,0,0,7,0,0,-1576
2016/10/6 6:00,9016,866,8593,865,135,16,39,0,6,0,0,-1504
2016/10/6 7:00,9258,867,8336,807,135,16,592,0,5,0,0,-1500
2016/10/6 8:00,10079,867,7925,769,135,16,1785,0,2,0,0,-1420
2016/10/6 9:00,11200,867,8502,765,135,16,2887,0,0,0,0,-1972
2016/10/6 10:00,11723,866,8642,716,135,16,3525,0,3,0,0,-2180
2016/10/6 11:00,12108,866,8429,715,135,17,4081,0,13,0,0,-2148
2016/10/6 12:00,12007,865,7778,679,135,17,4314,0,22,0,-351,-1452
2016/10/6 13:00,12573,865,8269,873,135,17,3938,0,32,0,252,-1808
2016/10/6 14:00,12547,863,9175,819,135,17,3184,0,32,0,10,-1688
2016/10/6 15:00,12265,864,9562,806,135,17,2060,0,29,0,0,-1208
2016/10/6 16:00,12070,864,9839,1108,135,17,864,0,27,0,320,-1104
2016/10/6 17:00,11821,860,9822,1176,135,17,131,0,36,0,888,-1244
2016/10/6 18:00,11923,861,9818,1133,135,17,0,0,42,0,953,-1036
2016/10/6 19:00,11348,864,9703,1056,135,17,0,0,49,0,680,-1156
2016/10/6 20:00,10663,865,9539,978,135,17,0,0,52,0,317,-1240
2016/10/6 21:00,9922,866,9290,914,135,17,0,0,60,0,0,-1360
