,,,,,,,ëæózåı,ëæózåı,ïóóÕ,ïóóÕ,,
DATE_TIME,ÉGÉäÉAé˘óvÅkMWhÅl,å¥éqóÕÅkMWhÅl,âŒóÕÅkMWhÅl,êÖóÕÅkMWhÅl,ínîMÅkMWhÅl,ÉoÉCÉIÉ}ÉXÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,ógêÖÅkMWhÅl,òAånê¸ÅkMWhÅl
2017/1/1 0:00,8793,901,8763,277,147,20,0,0,28,0,333,-1676
2017/1/1 1:00,9005,901,8774,310,147,20,0,0,28,0,417,-1592
2017/1/1 2:00,9149,901,8728,308,147,20,0,0,24,0,561,-1540
2017/1/1 3:00,9298,900,8707,545,147,20,0,0,27,0,552,-1600
2017/1/1 4:00,9310,900,8687,474,147,21,0,0,29,0,556,-1504
2017/1/1 5:00,8997,900,8595,429,147,21,0,0,31,0,290,-1416
2017/1/1 6:00,8618,900,8556,417,147,21,0,0,37,0,0,-1460
2017/1/1 7:00,8768,901,8642,434,147,21,39,0,33,0,79,-1528
2017/1/1 8:00,8757,901,8199,391,147,21,658,0,19,0,17,-1596
2017/1/1 9:00,8353,900,6698,333,147,21,1836,0,16,0,-78,-1520
2017/1/1 10:00,7788,901,6275,387,147,21,2789,0,17,0,-1285,-1464
2017/1/1 11:00,7395,901,6139,341,147,21,3625,0,11,0,-2070,-1720
2017/1/1 12:00,7198,901,5444,337,147,21,3926,0,7,0,-2005,-1580
2017/1/1 13:00,6822,901,5434,372,147,21,3640,0,4,0,-2085,-1612
2017/1/1 14:00,6564,902,5451,211,147,21,2887,0,2,0,-1393,-1664
2017/1/1 15:00,6668,901,6394,212,147,21,1757,0,2,0,-1010,-1756
2017/1/1 16:00,7294,901,7167,279,147,21,553,0,1,0,-119,-1656
2017/1/1 17:00,8335,898,8271,497,147,21,18,0,1,0,106,-1624
2017/1/1 18:00,9037,898,8745,844,147,21,0,0,2,0,72,-1692
2017/1/1 19:00,8968,900,8714,835,147,21,0,0,3,0,0,-1652
2017/1/1 20:00,8988,901,8784,623,147,21,0,0,4,0,0,-1492
2017/1/1 21:00,8898,901,8934,409,147,21,0,0,14,0,0,-1528
2017/1/1 22:00,8609,901,8754,308,147,21,0,0,14,0,0,-1536
2017/1/1 23:00,8183,901,8495,279,147,21,0,0,12,0,0,-1672
2017/1/2 0:00,7891,901,8139,275,147,19,0,0,14,0,0,-1604
2017/1/2 1:00,8148,900,8364,354,147,19,0,0,8,0,0,-1644
2017/1/2 2:00,8473,900,8798,303,147,19,0,0,6,0,0,-1700
2017/1/2 3:00,8693,900,8912,405,147,19,0,0,10,0,0,-1700
2017/1/2 4:00,8740,900,8780,463,147,19,0,0,19,0,0,-1588
2017/1/2 5:00,8365,900,8535,387,147,19,0,0,17,0,0,-1640
2017/1/2 6:00,8268,900,8377,418,147,20,0,0,14,0,0,-1608
2017/1/2 7:00,8546,900,8650,445,147,20,8,0,20,0,0,-1644
2017/1/2 8:00,8784,900,8744,362,147,20,235,0,24,0,0,-1648
2017/1/2 9:00,8794,902,8181,330,147,20,888,0,22,0,0,-1696
2017/1/2 10:00,8496,901,7210,310,147,20,1568,0,16,0,-20,-1656
2017/1/2 11:00,8246,900,6993,288,147,20,1844,0,16,0,-150,-1812
2017/1/2 12:00,8167,902,6604,262,147,20,1790,0,22,0,0,-1580
2017/1/2 13:00,7953,901,6719,334,147,20,1477,0,15,0,0,-1660
2017/1/2 14:00,7984,901,7053,297,147,20,1219,0,19,0,0,-1672
2017/1/2 15:00,7985,901,7534,298,147,20,733,0,12,0,0,-1660
2017/1/2 16:00,8367,899,8253,345,147,20,234,0,13,0,0,-1544
2017/1/2 17:00,9120,897,8836,510,147,20,7,0,13,0,158,-1468
2017/1/2 18:00,9450,900,8698,864,147,20,0,0,17,0,344,-1540
2017/1/2 19:00,9277,901,8518,843,147,20,0,0,18,0,394,-1564
2017/1/2 20:00,9229,901,8551,577,147,20,0,0,17,0,576,-1560
2017/1/2 21:00,8943,902,8596,350,147,20,0,0,22,0,482,-1576
2017/1/2 22:00,8599,901,8627,301,147,20,0,0,25,0,138,-1560
2017/1/2 23:00,8116,900,8383,271,147,20,0,0,35,0,0,-1640
2017/1/3 0:00,7758,901,7991,267,146,20,0,0,53,0,0,-1620
2017/1/3 1:00,7874,900,8129,292,146,20,0,0,59,0,0,-1672
2017/1/3 2:00,8298,900,8456,305,146,20,0,0,71,0,0,-1600
2017/1/3 3:00,8549,900,8578,331,146,20,0,0,86,0,64,-1576
2017/1/3 4:00,8659,900,8628,413,146,20,0,0,96,0,88,-1632
2017/1/3 5:00,8450,900,8392,400,146,20,0,0,100,0,0,-1508
2017/1/3 6:00,8242,900,8185,417,146,20,0,0,98,0,0,-1524
2017/1/3 7:00,8504,900,8436,439,146,20,32,0,87,0,0,-1556
2017/1/3 8:00,8613,900,8040,386,146,20,579,0,70,0,0,-1528
2017/1/3 9:00,8338,901,7114,307,146,20,1672,0,54,0,-196,-1680
2017/1/3 10:00,7991,900,6699,303,146,20,2655,0,50,0,-1098,-1684
2017/1/3 11:00,7819,901,6500,327,146,20,3506,0,48,0,-1881,-1748
2017/1/3 12:00,7597,902,5545,220,146,20,3872,0,59,0,-1535,-1632
2017/1/3 13:00,7303,900,5477,302,146,20,3649,0,59,0,-1594,-1656
2017/1/3 14:00,7067,901,5879,327,146,20,2912,0,51,0,-1397,-1772
2017/1/3 15:00,7198,900,6520,249,146,20,1822,0,38,0,-797,-1700
2017/1/3 16:00,7913,898,7595,285,146,20,590,0,32,0,-17,-1636
2017/1/3 17:00,8995,897,8822,522,146,21,22,0,31,0,62,-1528
2017/1/3 18:00,9650,899,9146,906,146,21,0,0,20,0,176,-1664
2017/1/3 19:00,9629,900,9075,882,146,21,0,0,13,0,176,-1584
2017/1/3 20:00,9564,900,8985,653,146,21,0,0,12,0,363,-1516
2017/1/3 21:00,9293,901,9038,354,146,21,0,0,8,0,425,-1600
2017/1/3 22:00,8828,902,9032,257,146,21,0,0,7,0,119,-1656
2017/1/3 23:00,8303,901,8569,249,146,21,0,0,9,0,0,-1592
2017/1/4 0:00,7844,901,8187,265,147,16,0,0,12,0,0,-1684
2017/1/4 1:00,8055,901,8474,285,147,16,0,0,12,0,0,-1780
2017/1/4 2:00,8548,901,8765,291,147,17,0,0,15,0,0,-1588
2017/1/4 3:00,8917,901,9239,313,147,17,0,0,20,0,0,-1720
2017/1/4 4:00,9053,901,9206,352,147,17,0,0,26,0,0,-1596
2017/1/4 5:00,9015,900,9106,488,147,17,0,0,37,0,0,-1680
2017/1/4 6:00,9343,900,9309,484,147,17,0,0,38,0,0,-1552
2017/1/4 7:00,10043,900,9565,576,147,17,37,0,39,0,426,-1664
2017/1/4 8:00,10165,901,9258,443,147,17,646,0,39,0,194,-1480
2017/1/4 9:00,9913,900,8308,309,147,17,1774,0,34,0,0,-1576
2017/1/4 10:00,9433,901,7590,293,147,17,2908,0,30,0,-585,-1868
2017/1/4 11:00,9118,901,7285,304,147,17,3544,0,26,0,-882,-2224
2017/1/4 12:00,8832,901,7089,219,147,17,3831,0,29,0,-1185,-2216
2017/1/4 13:00,8649,901,7159,251,147,17,3497,0,32,0,-1099,-2256
2017/1/4 14:00,8436,901,6973,271,147,17,2817,0,38,0,-644,-2084
2017/1/4 15:00,8406,902,7367,225,147,17,1644,0,38,0,-302,-1632
2017/1/4 16:00,9163,898,8689,349,147,17,531,0,36,0,0,-1504
2017/1/4 17:00,10045,897,9686,626,147,17,24,0,31,0,157,-1540
2017/1/4 18:00,10590,899,9882,934,147,17,0,0,26,0,409,-1724
2017/1/4 19:00,10505,900,9592,687,147,17,0,0,28,0,654,-1520
2017/1/4 20:00,10245,901,9541,487,147,17,0,0,25,0,711,-1584
2017/1/4 21:00,9788,900,9662,378,147,17,0,0,28,0,300,-1644
2017/1/4 22:00,9230,900,9467,259,147,17,0,0,31,0,29,-1620
2017/1/4 23:00,8533,901,8954,248,147,17,0,0,38,0,0,-1772
2017/1/5 0:00,8091,901,8286,275,147,19,0,0,39,0,0,-1576
2017/1/5 1:00,8272,900,8635,272,147,19,0,0,31,0,0,-1732
2017/1/5 2:00,8799,901,9092,318,147,19,0,0,34,0,0,-1712
2017/1/5 3:00,9139,900,9524,321,147,19,0,0,40,0,0,-1812
2017/1/5 4:00,9311,900,9322,363,147,19,0,0,52,0,0,-1492
2017/1/5 5:00,9347,900,9313,435,147,19,0,0,65,0,0,-1532
2017/1/5 6:00,9838,900,9972,488,147,19,0,0,68,0,0,-1756
2017/1/5 7:00,10396,900,10174,556,147,19,11,0,65,0,36,-1512
2017/1/5 8:00,10886,900,10326,548,147,19,261,0,59,0,62,-1436
2017/1/5 9:00,11096,900,10038,420,147,19,875,0,57,0,32,-1392
2017/1/5 10:00,10599,900,9199,244,147,19,1425,0,37,0,0,-1372
2017/1/5 11:00,10567,901,8638,264,147,19,1808,0,26,0,20,-1256
2017/1/5 12:00,10268,901,9051,229,147,19,1297,0,30,0,46,-1452
2017/1/5 13:00,10401,900,9211,274,147,19,1104,0,38,0,0,-1292
2017/1/5 14:00,10348,900,9335,258,147,20,941,0,47,0,0,-1300
2017/1/5 15:00,10487,900,9990,284,147,20,461,0,57,0,0,-1372
2017/1/5 16:00,10837,897,10329,278,147,20,144,0,81,0,249,-1308
2017/1/5 17:00,11470,896,10430,578,147,20,4,0,113,0,682,-1400
2017/1/5 18:00,11630,898,10396,871,147,20,0,0,119,0,643,-1464
2017/1/5 19:00,11366,900,10451,829,147,20,0,0,128,0,439,-1548
2017/1/5 20:00,11024,900,10410,648,147,20,0,0,133,0,298,-1532
2017/1/5 21:00,10523,900,10303,366,147,20,0,0,132,0,167,-1512
2017/1/5 22:00,9879,901,10123,261,147,20,0,0,135,0,0,-1708
2017/1/5 23:00,9113,901,9367,220,147,20,0,0,134,0,0,-1676
2017/1/6 0:00,8579,901,8712,279,147,22,0,0,134,0,0,-1616
2017/1/6 1:00,8651,901,8931,276,147,22,0,0,126,0,0,-1752
2017/1/6 2:00,9177,901,9247,304,147,22,0,0,124,0,0,-1568
2017/1/6 3:00,9560,900,9779,308,147,22,0,0,124,0,0,-1720
2017/1/6 4:00,9785,900,9833,342,147,22,0,0,133,0,0,-1592
2017/1/6 5:00,9832,900,9820,401,147,22,0,0,130,0,0,-1588
2017/1/6 6:00,10315,900,10294,530,147,22,0,0,121,0,5,-1704
2017/1/6 7:00,11028,901,10382,520,147,22,0,0,102,0,454,-1500
2017/1/6 8:00,11717,901,10480,436,147,23,98,0,110,0,982,-1460
2017/1/6 9:00,11900,901,10321,304,147,23,759,0,97,0,540,-1192
2017/1/6 10:00,11201,901,9719,244,147,23,1829,0,85,0,-171,-1576
2017/1/6 11:00,10887,901,9134,271,147,23,2651,0,79,0,-711,-1608
2017/1/6 12:00,10040,901,8757,238,147,23,2957,0,68,0,-1243,-1808
2017/1/6 13:00,10163,901,8567,295,147,23,2999,0,68,0,-1229,-1608
2017/1/6 14:00,10068,901,8654,228,146,23,2458,0,65,0,-771,-1636
2017/1/6 15:00,10001,901,8918,180,146,23,1521,0,61,0,-97,-1652
2017/1/6 16:00,10616,901,9799,323,146,23,510,0,63,0,159,-1308
