,,,,,,,ëæózåı,ëæózåı,ïóóÕ,ïóóÕ,,
DATE_TIME,ÉGÉäÉAé˘óvÅkMWhÅl,å¥éqóÕÅkMWhÅl,âŒóÕÅkMWhÅl,êÖóÕÅkMWhÅl,ínîMÅkMWhÅl,ÉoÉCÉIÉ}ÉXÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,ógêÖìôÅkMWhÅl,òAånê¸ÅkMWhÅl
2019/10/1 0:00,8290,2053,7454,771,114,326,0,0,1,0,-615,-1814
2019/10/1 1:00,7892,2049,7642,774,114,322,0,0,6,0,-1353,-1662
2019/10/1 2:00,7918,2047,7791,790,114,321,0,0,10,0,-1523,-1632
2019/10/1 3:00,8269,2048,7483,813,114,327,0,0,13,0,-871,-1658
2019/10/1 4:00,8697,2048,7351,1009,114,327,0,0,20,0,-512,-1660
2019/10/1 5:00,8786,2048,7328,1016,114,328,0,0,21,0,-503,-1566
2019/10/1 6:00,8807,2049,7359,963,114,326,47,0,38,0,-447,-1642
2019/10/1 7:00,9159,2051,7341,778,114,321,447,0,41,0,-252,-1682
2019/10/1 8:00,9943,2050,7694,733,110,320,1024,0,37,0,41,-2066
2019/10/1 9:00,10903,2051,7931,688,110,319,1650,0,30,0,204,-2080
2019/10/1 10:00,11174,2053,7697,687,110,318,2190,0,41,0,0,-1922
2019/10/1 11:00,11416,2050,7896,669,110,320,2199,0,40,0,0,-1868
2019/10/1 12:00,11112,2053,8095,663,109,323,2045,0,34,0,0,-2210
2019/10/1 13:00,11527,2050,8218,738,109,321,1927,0,33,0,29,-1898
2019/10/1 14:00,11667,2050,8262,805,110,319,1499,0,40,0,500,-1918
2019/10/1 15:00,11557,2051,8314,860,110,319,1177,0,51,0,793,-2118
2019/10/1 16:00,11573,2045,8312,967,110,319,669,0,85,0,1124,-2058
2019/10/1 17:00,11509,2047,8300,1019,110,321,103,0,95,0,1176,-1662
2019/10/1 18:00,11521,2047,8278,999,110,325,0,0,100,0,1196,-1534
2019/10/1 19:00,11093,2053,8289,992,110,330,0,0,132,0,1015,-1828
2019/10/1 20:00,10475,2053,8288,959,110,327,0,0,130,0,170,-1562
2019/10/1 21:00,9973,2052,8260,818,110,329,0,0,130,0,186,-1912
2019/10/1 22:00,9565,2054,8194,753,110,325,0,0,133,0,134,-2138
2019/10/1 23:00,9097,2053,7821,725,110,325,0,0,133,0,0,-2070
2019/10/2 0:00,8435,2051,7674,704,110,335,0,0,151,0,-800,-1790
2019/10/2 1:00,8083,2052,7696,691,109,336,0,0,167,0,-1152,-1816
2019/10/2 2:00,8161,2053,7684,705,109,336,0,0,160,0,-1120,-1766
2019/10/2 3:00,8563,2054,7689,702,109,338,0,0,162,0,-769,-1722
2019/10/2 4:00,8931,2050,7658,826,109,339,0,0,171,0,-510,-1712
2019/10/2 5:00,9036,2051,7656,902,113,337,0,0,168,0,-709,-1482
2019/10/2 6:00,9016,2051,7676,759,113,336,58,0,175,0,-782,-1370
2019/10/2 7:00,9364,2054,7678,670,110,332,575,0,180,0,-627,-1608
2019/10/2 8:00,10357,2053,7742,658,109,331,1265,0,182,0,1,-1984
2019/10/2 9:00,11299,2029,7750,636,109,328,1856,0,188,0,307,-1904
2019/10/2 10:00,11901,1979,7719,646,109,326,2889,0,174,0,129,-2070
2019/10/2 11:00,12249,1998,8005,631,109,324,3292,0,156,0,-278,-1988
2019/10/2 12:00,11977,2018,8093,623,108,327,3284,0,144,0,-348,-2272
2019/10/2 13:00,12274,2041,8178,717,108,325,2518,0,149,0,740,-2502
2019/10/2 14:00,12135,2048,8235,833,108,326,1928,0,171,0,936,-2450
2019/10/2 15:00,11838,2050,8279,878,108,327,1460,0,205,0,653,-2122
2019/10/2 16:00,11833,2049,8297,934,108,328,872,0,201,0,898,-1854
