,,,,,,,ëæózåı,ëæózåı,ïóóÕ,ïóóÕ,,
DATE_TIME,ÉGÉäÉAé˘óvÅkMWhÅl,å¥éqóÕÅkMWhÅl,âŒóÕÅkMWhÅl,êÖóÕÅkMWhÅl,ínîMÅkMWhÅl,ÉoÉCÉIÉ}ÉXÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,ógêÖÅkMWhÅl,òAånê¸ÅkMWhÅl
2019/7/1 0:00,7709,2952,4309,1030,136,346,0,0,127,0,-347,-844
2019/7/1 1:00,7416,2952,4177,1027,136,343,0,0,94,0,-549,-764
2019/7/1 2:00,7557,2954,4359,1009,136,346,0,0,65,0,-318,-994
2019/7/1 3:00,8058,2956,4720,1010,136,348,0,0,51,0,-11,-1152
2019/7/1 4:00,8525,2952,5013,1095,136,346,0,0,61,0,0,-1078
2019/7/1 5:00,8616,2953,5029,1119,136,343,18,0,79,0,-3,-1058
2019/7/1 6:00,8670,2954,5052,1075,136,342,137,0,99,0,-13,-1112
2019/7/1 7:00,9202,2954,5299,1012,136,343,416,0,98,0,76,-1132
2019/7/1 8:00,10040,2956,5643,973,136,341,769,0,96,0,4,-878
2019/7/1 9:00,10642,2956,5798,1049,135,338,1073,0,77,0,492,-1276
2019/7/1 10:00,10913,2955,5781,1041,135,337,1398,0,39,0,529,-1302
2019/7/1 11:00,11041,2953,5847,1046,135,333,1878,0,18,0,83,-1252
2019/7/1 12:00,10556,2952,5624,1049,136,336,2006,0,20,0,-851,-716
2019/7/1 13:00,10816,2954,5848,1075,136,335,1522,0,22,0,-134,-942
2019/7/1 14:00,10885,2955,5737,1059,135,331,1183,0,29,0,0,-544
2019/7/1 15:00,10818,2957,5800,1075,134,334,987,0,39,0,-20,-488
2019/7/1 16:00,10921,2949,6008,1093,134,335,701,0,50,0,67,-416
2019/7/1 17:00,10742,2953,6094,1110,134,337,349,0,55,0,276,-566
2019/7/1 18:00,10652,2953,6032,1094,134,337,78,0,69,0,565,-610
2019/7/1 19:00,10441,2956,5883,1102,134,338,0,0,74,0,574,-620
2019/7/1 20:00,9987,2956,5578,1128,134,337,0,0,67,0,425,-638
2019/7/1 21:00,9621,2960,5224,1150,134,338,0,0,50,0,557,-792
2019/7/1 22:00,9207,2960,5177,1138,134,335,0,0,18,0,447,-1002
2019/7/1 23:00,8768,2957,4992,1141,134,333,0,0,13,0,168,-970
2019/7/2 0:00,8156,2961,4876,1171,136,340,0,0,16,0,-24,-1320
2019/7/2 1:00,7865,2958,4802,1207,138,337,0,0,14,0,-231,-1360
2019/7/2 2:00,7990,2957,4821,1195,127,340,0,0,18,0,-24,-1444
2019/7/2 3:00,8469,2960,5204,1194,122,341,0,0,18,0,-4,-1366
2019/7/2 4:00,8808,2958,5352,1197,122,339,0,0,19,0,31,-1210
2019/7/2 5:00,8857,2957,5335,1192,122,339,9,0,18,0,119,-1234
