,,,,,,,ëæózåı,ëæózåı,ïóóÕ,ïóóÕ,,
DATE_TIME,ÉGÉäÉAé˘óvÅkMWhÅl,å¥éqóÕÅkMWhÅl,âŒóÕìôÅkMWhÅl,êÖóÕÅkMWhÅl,ínîMÅkMWhÅl,ÉoÉCÉIÉ}ÉXÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,ógêÖìôÅkMWhÅl,òAånê¸í™ó¨ÅkMWhÅl
2018/10/1 0:00,6665,4072,3184,931,117,287,0,0,150,0,-390,-1686
2018/10/1 1:00,6533,4076,3074,919,117,287,0,0,148,0,-588,-1500
2018/10/1 2:00,6814,4069,3197,918,117,286,0,0,148,0,-187,-1734
2018/10/1 3:00,7392,4074,3386,901,117,287,0,0,132,0,325,-1830
2018/10/1 4:00,7909,4070,3918,905,117,285,0,0,117,0,327,-1830
2018/10/1 5:00,7976,4071,3998,906,117,287,0,0,110,0,225,-1738
2018/10/1 6:00,7986,4071,3980,902,117,270,127,0,101,0,134,-1716
2018/10/1 7:00,8228,4077,3558,911,117,247,1344,0,88,0,-272,-1842
2018/10/1 8:00,8604,4074,3173,919,112,241,2970,0,78,0,-1369,-1594
2018/10/1 9:00,9299,4075,2856,919,81,240,4264,0,83,0,-1903,-1316
2018/10/1 10:00,9672,4073,2206,919,81,236,4778,0,79,0,-1344,-1356
2018/10/1 11:00,9757,4073,2241,910,82,237,4472,0,93,0,-807,-1544
2018/10/1 12:00,9556,4074,2433,936,83,240,4373,0,114,0,-763,-1934
2018/10/1 13:00,9873,4072,2578,966,83,239,4378,0,140,0,-953,-1630
2018/10/1 14:00,9940,4071,2681,1030,83,237,3809,0,141,0,-438,-1674
2018/10/1 15:00,9723,4070,3772,1018,83,226,2866,0,133,0,-269,-2176
2018/10/1 16:00,9684,4067,4762,1038,88,196,1466,0,133,0,362,-2428
2018/10/1 17:00,9441,4061,5161,1037,98,199,318,0,112,0,955,-2500
2018/10/1 18:00,9834,4063,5225,1096,120,226,0,0,97,0,1569,-2562
2018/10/1 19:00,9510,4065,4696,1204,120,235,0,0,95,0,1521,-2426
2018/10/1 20:00,8979,4074,4703,1196,120,242,0,0,86,0,648,-2090
2018/10/1 21:00,8636,4075,4657,1182,120,243,0,0,93,0,162,-1896
2018/10/1 22:00,8248,4074,4607,1203,120,241,0,0,94,0,35,-2126
2018/10/1 23:00,7795,4075,4156,1190,120,243,0,0,89,0,0,-2078
2018/10/2 0:00,7270,4072,3591,1200,118,242,0,0,84,0,-191,-1846
2018/10/2 1:00,7152,4075,3104,1238,118,242,0,0,71,0,-10,-1686
2018/10/2 2:00,7401,4072,3417,1227,122,243,0,0,64,0,0,-1744
2018/10/2 3:00,7891,4075,3849,1224,122,241,0,0,59,0,-13,-1666
2018/10/2 4:00,8388,4070,4266,1255,122,245,0,0,53,0,-3,-1620
2018/10/2 5:00,8484,4071,4395,1235,122,244,0,0,51,0,0,-1634
2018/10/2 6:00,8431,4071,4410,1229,122,243,143,0,39,0,0,-1826
2018/10/2 7:00,8467,4072,4067,1234,122,241,1089,0,24,0,-402,-1980
2018/10/2 8:00,8741,4075,3576,1217,117,240,2245,0,12,0,-845,-1896
2018/10/2 9:00,9434,4075,3487,1194,83,239,3276,0,9,0,-487,-2442
2018/10/2 10:00,9767,4076,3351,1155,81,236,3694,0,4,0,-326,-2504
2018/10/2 11:00,10067,4075,3082,1145,84,243,4450,0,2,0,-622,-2392
2018/10/2 12:00,9938,4076,3111,1129,84,257,4719,0,3,0,-1263,-2178
2018/10/2 13:00,9885,4074,3381,1133,84,263,3558,0,2,0,-344,-2266
2018/10/2 14:00,10004,4074,4104,1155,84,262,2551,0,2,0,180,-2408
2018/10/2 15:00,9846,4076,4848,1192,84,270,1581,0,2,0,25,-2232
2018/10/2 16:00,9887,4065,5038,1221,89,282,922,0,2,0,406,-2138
2018/10/2 17:00,9828,4067,5279,1276,121,291,291,0,2,0,749,-2248
2018/10/2 18:00,10072,4062,5309,1271,122,291,2,0,6,0,1415,-2406
2018/10/2 19:00,9765,4071,5285,1279,122,292,0,0,7,0,611,-1902
2018/10/2 20:00,9207,4079,4974,1295,122,293,0,0,4,0,22,-1582
2018/10/2 21:00,8730,4073,4659,1278,122,295,0,0,4,0,-95,-1606
2018/10/2 22:00,8447,4075,4695,1245,122,294,0,0,4,0,-2,-1986
2018/10/2 23:00,8032,4075,4551,1229,122,291,0,0,2,0,-244,-1994
2018/10/3 0:00,7460,4072,4080,1198,122,295,0,0,1,0,-358,-1950
2018/10/3 1:00,7293,4074,4003,1191,122,291,0,0,2,0,-506,-1884
2018/10/3 2:00,7548,4073,4013,1202,122,292,0,0,2,0,-226,-1930
2018/10/3 3:00,8109,4069,4349,1200,122,292,0,0,3,0,76,-2002
2018/10/3 4:00,8560,4071,4508,1233,122,294,0,0,9,0,365,-2042
